Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Chr	length	TPM_SRR6344890	TPM_SRR6344891	TPM_SRR6344901	Fmean	log_2
chr14	EviAnn	gene	24398053	24408619	.	+	.	LOC_00015253	geneID=LOC_00015253	protein_coding	FBXW5:_F-box/WD_repeat-containing_protein_5_(Homo_sapiens)	chr14	5073	20.6961730431	26.5536398642	23.583631422	23.6111481098	4.5613962903
chr14	EviAnn	gene	24408008	24447321	.	-	.	LOC_00015254	geneID=LOC_00015254	protein_coding	TRAF2:_TNF_receptor-associated_factor_2_(Homo_sapiens)	chr14	9562	65.2902531682	53.3346454048	76.0965674097	64.9071553276	6.0203056238
chr14	EviAnn	gene	24452417	24464472	.	+	.	LOC_00015255	geneID=LOC_00015255	protein_coding	EDF1:_Endothelial_differentiation-related_factor_1_homolog_(Gallus_gallus)	chr14	4875	2.1999912116	2.2365428485	1.8878068987	2.1081136529	1.0759526478
chr14	EviAnn	gene	24452580	24464472	.	+	.	LOC_00015256	geneID=LOC_00015256	protein_coding	pol:_Retrovirus-related_Pol_polyprotein_from_type-2_retrotransposable_element_R2DM_(Drosophila_melanogaster)	chr14	8126	29.800423722	30.1896128098	35.5472916406	31.8457760575	4.9930301247
chr14	EviAnn	gene	24475550	24488716	.	-	.	LOC_00015257	geneID=LOC_00015257	protein_coding	Mamdc4:_Apical_endosomal_glycoprotein_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	24514951	24517125	.	-	.	LOC_00015258	geneID=LOC_00015258	protein_coding	PHPT1:_14_kDa_phosphohistidine_phosphatase_(Sus_scrofa)	chr14	1362	35.8493235195	59.2646510271	42.9397600852	46.0179115439	5.5241236053
chr14	EviAnn	gene	24527350	24530758	.	-	.	LOC_00015259	geneID=LOC_00015259	protein_coding	Ajm1:_Apical_junction_component_1_homolog_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	24553731	24597549	.	-	.	LOC_00015260	geneID=LOC_00015260	protein_coding	RABL6:_Rab-like_protein_6_(Homo_sapiens)	chr14	5882	36.8509059584	42.9328355804	56.477512631	45.4204180566	5.5052690798
chr14	EviAnn	gene	24600257	24635753	.	-	.	LOC_00015261	geneID=LOC_00015261	protein_coding	Ccdc183:_Coiled-coil_domain-containing_protein_183_(Mus_musculus)	chr14	1644	3.0901720582	0.5348454981	1.9863755777	1.870464378	0.9033964908
chr14	EviAnn	gene	24645786	24659973	.	+	.	LOC_00015262	geneID=LOC_00015262	protein_coding	AMBP:_Protein_AMBP_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	24686178	24686585	.	-	.	LOC_00015263	geneID=LOC_00015263	protein_coding	Nrarp:_Notch-regulated_ankyrin_repeat-containing_protein_(Mus_musculus)	chr14	408	3.4587710128	0	0	1.1529236709	0.2052970028
chr14	EviAnn	gene	24698390	24896434	.	-	.	LOC_00015264	geneID=LOC_00015264	protein_coding	EXD3:_Exonuclease_mut-7_homolog_(Homo_sapiens)	chr14	8021	40.7818468113	31.9222145467	39.4917517297	37.3986043626	5.2249125277
chr14	EviAnn	gene	24737504	25810711	.	+	.	LOC_00015283	geneID=LOC_00015283	protein_coding	POLE3:_DNA_polymerase_epsilon_subunit_3_(Pongo_abelii)	chr14	10544	46.4682474036	58.8080886213	56.8461971221	54.0408443823	5.7559783117
chr14	EviAnn	gene	24896476	24920779	.	+	.	LOC_00015265	geneID=LOC_00015265	protein_coding	Cimip2a:_Ciliary_microtubule_inner_protein_2A_(Mus_musculus)	chr14	2434	67.9499296557	55.4882208015	73.1814771733	65.5398758768	6.0343010355
chr14	EviAnn	gene	24919885	24931476	.	-	.	LOC_00015266	geneID=LOC_00015266	protein_coding	Tubb4b:_Tubulin_beta-4B_chain_(Mus_musculus)	chr14	8684	18.2003685169	23.6325831579	18.4605416739	20.0978311162	4.3289679144
chr14	EviAnn	gene	24937524	24948371	.	-	.	LOC_00015267	geneID=LOC_00015267	protein_coding	function_unknown	chr14	1406	14.8545112971	6.879193448	13.9357103118	11.889805019	3.5716531514
chr14	EviAnn	gene	24957795	24972483	.	-	.	LOC_00015268	geneID=LOC_00015268	protein_coding	Anapc2:_Anaphase-promoting_complex_subunit_2_(Mus_musculus)	chr14	4156	74.2260914598	61.0168628687	74.2896471196	69.8442004827	6.1260684212
chr14	EviAnn	gene	24972224	24992158	.	+	.	LOC_00015269	geneID=LOC_00015269	protein_coding	Ssna1:_Microtubule_nucleation_factor_SSNA1_(Mus_musculus)	chr14	12868	16.9981876632	13.8712354504	20.5559307917	17.1417846351	4.0994454115
chr14	EviAnn	gene	24981751	25002530	.	-	.	LOC_00015270	geneID=LOC_00015270	protein_coding	TPRN:_Taperin_(Homo_sapiens)	chr14	4022	5.1928003192	5.5966488244	8.4884084517	6.4259525318	2.6839103237
chr14	EviAnn	gene	25008981	25013491	.	-	.	LOC_00015271	geneID=LOC_00015271	protein_coding	Tmem203:_Transmembrane_protein_203_(Mus_musculus)	chr14	4511	41.5438959264	45.6113774645	50.4111305797	45.8554679902	5.5190218717
chr14	EviAnn	gene	25013538	25048793	.	+	.	LOC_00015272	geneID=LOC_00015272	protein_coding	ndor1:_NADPH-dependent_diflavin_oxidoreductase_1_(Xenopus_laevis)	chr14	5417	42.4630067262	37.9828177482	58.0373560552	46.1610601765	5.5286044535
chr14	EviAnn	gene	25050582	25057927	.	+	.	LOC_00015273	geneID=LOC_00015273	protein_coding	function_unknown	chr14	7346	5.4556862891	6.2960037493	6.1427545029	5.9648148471	2.5764773561
chr14	EviAnn	gene	25061847	25070969	.	-	.	LOC_00015274	geneID=LOC_00015274	protein_coding	Rnf208:_RING_finger_protein_208_(Mus_musculus)	chr14	4274	5.7450882485	3.7442688769	11.8082325787	7.099196568	2.8276557608
chr14	EviAnn	gene	25098985	25105051	.	+	.	LOC_00015275	geneID=LOC_00015275	protein_coding	function_unknown	chr14	3830	9.8745654732	11.8921709512	15.2699616804	12.3455660349	3.6259210794
chr14	EviAnn	gene	25122892	25123422	.	+	.	LOC_00015276	geneID=LOC_00015276	protein_coding	Rnf224:_RING_finger_protein_224_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	25164207	25272312	.	-	.	LOC_00015277	geneID=LOC_00015277	protein_coding	GRIN1:_Glutamate_receptor_ionotropic,_NMDA_1_(Canis_lupus_familiaris)	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	25171633	25179010	.	-	.	XLOC_005219U_lncRNA	geneID=XLOC_005219U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	25180188	25182753	.	+	.	LOC_00015278	geneID=LOC_00015278	protein_coding	Lrrc26:_Leucine-rich_repeat-containing_protein_26_(Rattus_norvegicus)	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	25288554	25315068	.	+	.	LOC_00015279	geneID=LOC_00015279	protein_coding	nvd:_Cholesterol_7-desaturase_nvd_(Xenopus_laevis)	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	25315325	25462698	.	-	.	LOC_00015280	geneID=LOC_00015280	protein_coding	ZNF618:_Zinc_finger_protein_618_(Homo_sapiens)	chr14	17147	40.5733385782	36.7569956267	57.5670529186	44.9657957078	5.4907560935
chr14	EviAnn	gene	25575600	25624959	.	+	.	XLOC_005097U_lncRNA	geneID=XLOC_005097U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr14	EviAnn	gene	25624913	25703665	.	-	.	LOC_00015281	geneID=LOC_00015281	protein_coding	RGS3:_Regulator_of_G-protein_signaling_3_(Homo_sapiens)	chr14	3864	23.5196428871	28.3537876456	34.8041938812	28.8925414713	4.852625208
chr14	EviAnn	gene	25767080	25802601	.	-	.	LOC_00015282	geneID=LOC_00015282	protein_coding	C9orf43:_Uncharacterized_protein_C9orf43_(Homo_sapiens)	chr14	2570	15.5943468792	14.7802160126	13.515223545	14.6299288123	3.8708508444
chr14	EviAnn	gene	25856197	25863591	.	+	.	LOC_00015284	geneID=LOC_00015284	protein_coding	function_unknown	chr14	2798	2.5217629972	1.3827228003	24.191212247	9.3652326815	3.227314839
chr15	EviAnn	gene	394207	421156	.	-	.	XLOC_005381U_lncRNA	geneID=XLOC_005381U_lncRNA	lncRNA	function_unknown	chr15	6673	13.8728179834	4.743637938	21.3100703571	13.3088420928	3.734313153
chr15	EviAnn	gene	428645	441263	.	+	.	LOC_00005657	geneID=LOC_00005657	protein_coding	SDHB:_Succinate_dehydrogenase_[ubiquinone]_iron-sulfur_subunit,_mitochondrial_(Gallus_gallus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	428873	472087	.	+	.	LOC_00005658	geneID=LOC_00005658	protein_coding	Atp13a2:_Polyamine-transporting_ATPase_13A2_(Mus_musculus)	chr15	11244	41.0903472851	41.9310879233	58.1653244862	47.0622532315	5.55649849
chr15	EviAnn	gene	471530	482925	.	+	.	LOC_00005659	geneID=LOC_00005659	protein_coding	MFAP2:_Microfibrillar-associated_protein_2_(Bos_taurus)	chr15	2040	1.7985609267	4.3102254848	3.4926218714	3.2004694276	1.6782835274
chr15	EviAnn	gene	482725	525004	.	-	.	LOC_00005660	geneID=LOC_00005660	protein_coding	CROCC:_Rootletin_(Homo_sapiens)	chr15	9783	26.2242936331	26.9816678799	34.078321653	29.0947610553	4.8626874927
chr15	EviAnn	gene	529281	538571	.	-	.	LOC_00005661	geneID=LOC_00005661	protein_coding	NECAP2:_Adaptin_ear-binding_coat-associated_protein_2_(Bos_taurus)	chr15	1478	162.1232217412	205.1270720028	201.0620649022	189.4374528821	7.5655777779
chr15	EviAnn	gene	537119	577750	.	-	.	LOC_00005662	geneID=LOC_00005662	protein_coding	SZRD1:_SUZ_RNA-binding_domain-containing_(Bos_taurus)	chr15	30838	10.0765783068	12.4259951462	11.119013951	11.2071958013	3.4863534355
chr15	EviAnn	gene	550216	594707	.	+	.	LOC_00005663	geneID=LOC_00005663	protein_coding	FBXO42:_F-box_only_protein_42_(Pongo_abelii)	chr15	17520	33.4429990641	32.2906741833	41.3961412499	35.7099381658	5.1582537307
chr15	EviAnn	gene	585393	589351	.	+	.	LOC_00005664	geneID=LOC_00005664	protein_coding	Cplane2:_Ciliogenesis_and_planar_polarity_effector_2_(Mus_musculus)	chr15	1491	0.757171602	2.4768619687	1.9910989877	1.7417108528	0.8005051372
chr15	EviAnn	gene	593291	595001	.	+	.	LOC_00005665	geneID=LOC_00005665	protein_coding	pol:_Retrovirus-related_Pol_polyprotein_from_type-2_retrotransposable_element_R2DM_(Drosophila_melanogaster)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	595278	622018	.	+	.	LOC_00005666	geneID=LOC_00005666	protein_coding	Ano7:_Anoctamin-7_(Rattus_norvegicus)	chr15	2697	19.7784761097	24.3213702328	32.8024145353	25.6340869593	4.6799916073
chr15	EviAnn	gene	721984	755884	.	+	.	LOC_00005667	geneID=LOC_00005667	protein_coding	EPHA2:_Ephrin_type-A_receptor_2_(Macaca_fascicularis)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	768471	768554	.	-	.	LOC_00005668	geneID=LOC_00005668	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	824470	848113	.	+	.	LOC_00005670	geneID=LOC_00005670	protein_coding	FAM131C:_Protein_FAM131C_(Homo_sapiens)	chr15	9073	0.9332162944	1.9963949716	1.1124961102	1.3473691254	0.4301451459
chr15	EviAnn	gene	824500	847792	.	+	.	LOC_00005669	geneID=LOC_00005669	protein_coding	function_unknown	chr15	9409	10.858680912	11.3076422432	9.4024988842	10.5229406798	3.395466023
chr15	EviAnn	gene	848289	868717	.	-	.	LOC_00005671	geneID=LOC_00005671	protein_coding	clcnkb:_Chloride_channel_protein_ClC-Kb_(Xenopus_laevis)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	871772	877908	.	+	.	LOC_00005672	geneID=LOC_00005672	protein_coding	HSPB7:_Heat_shock_protein_beta-7_(Homo_sapiens)	chr15	2226	5.5787832185	6.4781178715	6.0014728922	6.0194579941	2.5896335892
chr15	EviAnn	gene	881307	908561	.	+	.	LOC_00005673	geneID=LOC_00005673	protein_coding	Zbtb17:_Zinc_finger_and_BTB_domain-containing_protein_17_(Mus_musculus)	chr15	6021	65.0159336011	67.5565027554	70.0641642141	67.5455335236	6.0777884688
chr15	EviAnn	gene	907776	976936	.	-	.	LOC_00005674	geneID=LOC_00005674	protein_coding	SPEN:_Msx2-interacting_protein_(Homo_sapiens)	chr15	11977	93.7879389068	49.5548175049	112.6565203688	85.3330922602	6.4150334235
chr15	EviAnn	gene	936489	976972	.	-	.	LOC_00005675	geneID=LOC_00005675	protein_coding	function_unknown	chr15	22781	16.7995974302	8.7538766757	22.5446664407	16.0327135156	4.0029467153
chr15	EviAnn	gene	987366	989116	.	-	.	XLOC_005384U_lncRNA	geneID=XLOC_005384U_lncRNA	lncRNA	function_unknown	chr15	705	10.8090273694	6.2360709142	8.4219250799	8.4890077878	3.0855959386
chr15	EviAnn	gene	990742	998835	.	+	.	LOC_00005676	geneID=LOC_00005676	protein_coding	TMCO5B:_Transmembrane_and_coiled-coil_domain-containing_protein_5B_(Bos_taurus)	chr15	918	53.4956583314	39.6540744601	46.5682916183	46.5726748033	5.5414118376
chr15	EviAnn	gene	1001363	1011215	.	-	.	LOC_00005677	geneID=LOC_00005677	protein_coding	FBLIM1:_Filamin-binding_LIM_protein_1_(Pongo_abelii)	chr15	3474	5.0370219655	7.4412804743	3.332769575	5.2703573382	2.3979007821
chr15	EviAnn	gene	1015913	1026275	.	+	.	LOC_00005678	geneID=LOC_00005678	protein_coding	ZNF160:_Zinc_finger_protein_160_(Homo_sapiens)	chr15	9982	11.6208053215	11.680356988	17.695787532	13.6656499472	3.7724821719
chr15	EviAnn	gene	1030542	1038031	.	-	.	LOC_00005679	geneID=LOC_00005679	protein_coding	tmem82:_Transmembrane_protein_82_(Xenopus_laevis)	chr15	4792	93.8822473172	110.1309383428	116.5312704307	106.8481520302	6.7394181462
chr15	EviAnn	gene	1038584	1047336	.	-	.	LOC_00005680	geneID=LOC_00005680	protein_coding	SLC25A35:_Solute_carrier_family_25_member_35_(Bos_taurus)	chr15	2043	149.8902351393	149.8616665768	131.9434929184	143.8984648782	7.1689073911
chr15	EviAnn	gene	1049154	1081309	.	-	.	LOC_00005681	geneID=LOC_00005681	protein_coding	PLEKHM2:_Pleckstrin_homology_domain-containing_family_M_member_2_(Homo_sapiens)	chr15	8962	21.8557895518	17.1304770595	23.1548904806	20.7137190307	4.3725146994
chr15	EviAnn	gene	1084717	1092856	.	-	.	LOC_00005682	geneID=LOC_00005682	protein_coding	RSC1A1:_Regulatory_solute_carrier_protein_family_1_member_1_(Sus_scrofa)	chr15	6652	237.8128653915	201.1042872405	179.4536630045	206.1236052122	7.6873659211
chr15	EviAnn	gene	1094665	1106487	.	-	.	LOC_00005683	geneID=LOC_00005683	protein_coding	DDI2:_Protein_DDI1_homolog_2_(Homo_sapiens)	chr15	1482	410.974812553	345.5439714969	318.5073184315	358.3420341605	8.485193474
chr15	EviAnn	gene	1106610	1117244	.	-	.	LOC_00005684	geneID=LOC_00005684	protein_coding	DDOST:_Dolichyl-diphosphooligosaccharide--protein_glycosyltransferase_48_kDa_subunit_(Homo_sapiens)	chr15	2519	157.4200790298	181.7214335159	188.0941179317	175.7452101591	7.4573415597
chr15	EviAnn	gene	1117598	1128486	.	-	.	LOC_00005685	geneID=LOC_00005685	protein_coding	SH2D5:_SH2_domain-containing_protein_5_(Homo_sapiens)	chr15	2338	42.3715722157	63.6335290905	53.076499183	53.0272001631	5.7286606711
chr15	EviAnn	gene	1132001	1149382	.	-	.	LOC_00005686	geneID=LOC_00005686	protein_coding	HP1BP3:_Heterochromatin_protein_1-binding_protein_3_(Gallus_gallus)	chr15	9175	9.782120682	8.471812785	12.5544053752	10.2694462807	3.3602864898
chr15	EviAnn	gene	1132607	1243322	.	-	.	LOC_00005687	geneID=LOC_00005687	protein_coding	EIF4G3:_Eukaryotic_translation_initiation_factor_4_gamma_3_(Homo_sapiens)	chr15	29743	46.515801136	38.0236577273	65.4771191701	50.0055260111	5.6440156279
chr15	EviAnn	gene	1249753	1301118	.	-	.	LOC_00005688	geneID=LOC_00005688	protein_coding	Ece1:_Endothelin-converting_enzyme_1_(Mus_musculus)	chr15	6184	186.8488059114	215.2146325894	333.1658541269	245.0764308759	7.9370879359
chr15	EviAnn	gene	1316960	1370558	.	+	.	LOC_00005689	geneID=LOC_00005689	protein_coding	ALPL:_Alkaline_phosphatase,_tissue-nonspecific_isozyme_(Gallus_gallus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1398276	1425697	.	-	.	LOC_00005690	geneID=LOC_00005690	protein_coding	RAP1GAP:_Rap1_GTPase-activating_protein_1_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1472619	1488762	.	-	.	LOC_00005691	geneID=LOC_00005691	protein_coding	USP48:_Ubiquitin_carboxyl-terminal_hydrolase_48_(Homo_sapiens)	chr15	10900	5.8518597715	4.6142347832	7.6805638768	6.0488861438	2.5966695056
chr15	EviAnn	gene	1473356	1513009	.	-	.	LOC_00005692	geneID=LOC_00005692	protein_coding	USP48:_Ubiquitin_carboxyl-terminal_hydrolase_48_(Gallus_gallus)	chr15	9284	44.0803302709	42.0511615156	54.9042114409	47.0119010758	5.5549541166
chr15	EviAnn	gene	1521935	1523567	.	+	.	LOC_00005693	geneID=LOC_00005693	protein_coding	LDLRAD2:_Low-density_lipoprotein_receptor_class_A_domain-containing_protein_2_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1664440	1671823	.	+	.	LOC_00005694	geneID=LOC_00005694	protein_coding	Proproteinase_E_(Bos_taurus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1680433	1687275	.	-	.	LOC_00005695	geneID=LOC_00005695	protein_coding	Proproteinase_E_(Bos_taurus)	chr15	965	3.2171946747	8.2005948084	0.3076402685	3.9084765839	1.9666063944
chr15	EviAnn	gene	1690473	1697614	.	+	.	LOC_00005696	geneID=LOC_00005696	protein_coding	Proproteinase_E_(Bos_taurus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1721027	1742793	.	+	.	LOC_00005697	geneID=LOC_00005697	protein_coding	TMEM269:_Transmembrane_protein_269_(Homo_sapiens)	chr15	3493	3.2320150546	1.3089857413	2.9746779466	2.5052262475	1.3249408994
chr15	EviAnn	gene	1743363	1747536	.	-	.	LOC_00005698	geneID=LOC_00005698	protein_coding	SVBP:_Small_vasohibin-binding_protein_(Taeniopygia_guttata)	chr15	749	29.3917032607	39.9141841957	39.6358957365	36.313927731	5.182451076
chr15	EviAnn	gene	1747526	1764583	.	+	.	LOC_00005699	geneID=LOC_00005699	protein_coding	Trim62:_E3_ubiquitin-protein_ligase_TRIM62_(Mus_musculus)	chr15	8561	40.8139019659	57.7015388601	54.8942572015	51.1365660092	5.6762833769
chr15	EviAnn	gene	1760182	1805699	.	-	.	LOC_00005700	geneID=LOC_00005700	protein_coding	Padi2:_Protein-arginine_deiminase_type-2_(Rattus_norvegicus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1825285	1855187	.	+	.	LOC_00005701	geneID=LOC_00005701	protein_coding	PADI1:_Protein-arginine_deiminase_type-1_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1863935	1893811	.	+	.	LOC_00005702	geneID=LOC_00005702	protein_coding	PADI3:_Protein-arginine_deiminase_type-3_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	1895373	1925852	.	-	.	LOC_00005703	geneID=LOC_00005703	protein_coding	RCC2:_Protein_RCC2_(Homo_sapiens)	chr15	4296	13.927833218	10.9296723327	9.121791759	11.3264324366	3.5016216121
chr15	EviAnn	gene	1965085	2062084	.	+	.	LOC_00005704	geneID=LOC_00005704	protein_coding	ARHGEF10L:_Rho_guanine_nucleotide_exchange_factor_10-like_protein_(Pongo_abelii)	chr15	4176	2.5006516863	0.2947797889	0.9952634164	1.2635649639	0.3374998397
chr15	EviAnn	gene	2101628	2105832	.	+	.	XLOC_005236U_lncRNA	geneID=XLOC_005236U_lncRNA	lncRNA	function_unknown	chr15	615	11.0140766691	15.727066647	3.8617607683	10.2009680281	3.3506341592
chr15	EviAnn	gene	2308269	2548393	.	+	.	LOC_00005705	geneID=LOC_00005705	protein_coding	IGSF21:_Immunoglobulin_superfamily_member_21_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	2593205	2595868	.	+	.	LOC_00005706	geneID=LOC_00005706	protein_coding	KLHDC7A:_Kelch_domain-containing_protein_7A_(Fragment)_(Pongo_abelii)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	2708343	2881420	.	+	.	LOC_00005707	geneID=LOC_00005707	protein_coding	PAX7:_Paired_box_protein_Pax-7_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	2934995	2950500	.	-	.	LOC_00005708	geneID=LOC_00005708	protein_coding	TAS1R2:_Taste_receptor_type_1_member_2_(Saimiri_sciureus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	2952478	2976217	.	-	.	LOC_00005709	geneID=LOC_00005709	protein_coding	ALDH4A1:_Delta-1-pyrroline-5-carboxylate_dehydrogenase,_mitochondrial_(Bos_taurus)	chr15	3870	25.9627685823	33.3992356171	27.9229252455	29.0949764816	4.8626981748
chr15	EviAnn	gene	2985209	3036985	.	-	.	LOC_00005710	geneID=LOC_00005710	protein_coding	IFFO2:_Intermediate_filament_family_orphan_2_(Homo_sapiens)	chr15	8064	12.1098161294	14.6983820252	16.6033803868	14.4705261805	3.8550454773
chr15	EviAnn	gene	3037361	3038683	.	+	.	LOC_00005711	geneID=LOC_00005711	protein_coding	function_unknown	chr15	1154	3.1794317941	3.3525636007	3.3443216359	3.2921056769	1.7190106471
chr15	EviAnn	gene	3062537	3191951	.	-	.	LOC_00005712	geneID=LOC_00005712	protein_coding	UBR4:_E3_ubiquitin-protein_ligase_UBR4_(Homo_sapiens)	chr15	15947	233.7776105063	230.8849433616	326.8822055776	263.8482531485	8.0435646217
chr15	EviAnn	gene	3194358	3200332	.	-	.	LOC_00005713	geneID=LOC_00005713	protein_coding	function_unknown	chr15	1821	12.5541421671	9.9468926839	17.4439296651	13.314988172	3.7349792419
chr15	EviAnn	gene	3210011	3235678	.	-	.	LOC_00005714	geneID=LOC_00005714	protein_coding	EMC1:_ER_membrane_protein_complex_subunit_1_(Gallus_gallus)	chr15	4037	125.3526471038	135.4322601226	146.3405968645	135.7085013637	7.08436729
chr15	EviAnn	gene	3236147	3241395	.	+	.	LOC_00005715	geneID=LOC_00005715	protein_coding	MRTO4:_mRNA_turnover_protein_4_homolog_(Bos_taurus)	chr15	2324	27.4463302538	36.9269851517	42.0271818558	35.4668324204	5.1483985823
chr15	EviAnn	gene	3241756	3251184	.	-	.	LOC_00005716	geneID=LOC_00005716	protein_coding	AKR7L:_Aflatoxin_B1_aldehyde_reductase_member_4_(Homo_sapiens)	chr15	1535	1.2870684055	2.5204289219	2.5142326826	2.1072433367	1.0753569209
chr15	EviAnn	gene	3255746	3266856	.	+	.	LOC_00005717	geneID=LOC_00005717	protein_coding	Slc66a1:_Lysosomal_amino_acid_transporter_1_homolog_(Rattus_norvegicus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3269364	3349485	.	-	.	LOC_00005718	geneID=LOC_00005718	protein_coding	CAPZB:_F-actin-capping_protein_subunit_beta_isoforms_1_and_2_(Gallus_gallus)	chr15	1962	148.5981107177	211.7994714982	190.3496721231	183.582418113	7.5202840867
chr15	EviAnn	gene	3349612	3352521	.	+	.	LOC_00005719	geneID=LOC_00005719	protein_coding	function_unknown	chr15	2262	8.4845396091	8.0853884956	12.5993786341	9.7231022463	3.2814166926
chr15	EviAnn	gene	3360869	3390012	.	+	.	LOC_00005720	geneID=LOC_00005720	protein_coding	MICOS10:_MICOS_complex_subunit_MIC10_(Homo_sapiens)	chr15	578	7.8127533466	39.2484061792	16.43586763	21.1656757186	4.4036546426
chr15	EviAnn	gene	3400365	3418508	.	+	.	LOC_00005721	geneID=LOC_00005721	protein_coding	NBL1:_Neuroblastoma_suppressor_of_tumorigenicity_1_(Gallus_gallus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3426508	3441684	.	+	.	LOC_00005722	geneID=LOC_00005722	protein_coding	HTR6:_5-hydroxytryptamine_receptor_6_(Pan_troglodytes)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3441169	3482021	.	-	.	LOC_00005724	geneID=LOC_00005724	protein_coding	TMCO4:_Transmembrane_and_coiled-coil_domain-containing_protein_4_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3441352	3481759	.	-	.	LOC_00005723	geneID=LOC_00005723	protein_coding	function_unknown	chr15	16693	8.8256780114	6.773868056	8.7498620177	8.1164693617	3.0208522961
chr15	EviAnn	gene	3490141	3516585	.	-	.	LOC_00005725	geneID=LOC_00005725	protein_coding	Rnf186:_E3_ubiquitin-protein_ligase_RNF186_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3532225	3548346	.	-	.	LOC_00005726	geneID=LOC_00005726	protein_coding	MIIP:_Migration_and_invasion-inhibitory_protein_(Homo_sapiens)	chr15	2787	8.7091035018	9.1493699204	6.0716731133	7.9767155118	2.9957948254
chr15	EviAnn	gene	3549564	3584375	.	-	.	LOC_00005727	geneID=LOC_00005727	protein_coding	Mfn2:_Mitofusin-2_(Rattus_norvegicus)	chr15	10072	34.046504497	30.0835936478	51.0802883997	38.4034621815	5.2631644748
chr15	EviAnn	gene	3588494	3613475	.	-	.	LOC_00005728	geneID=LOC_00005728	protein_coding	PLOD1:_Procollagen-lysine,2-oxoglutarate_5-dioxygenase_1_(Gallus_gallus)	chr15	10935	46.123019851	43.5501871974	34.7234007084	41.4655359189	5.3738408334
chr15	EviAnn	gene	3605600	3631099	.	+	.	LOC_00005729	geneID=LOC_00005729	protein_coding	Uncharacterized_protein_KIAA2013_homolog_(Xenopus_tropicalis)	chr15	14240	50.3426064043	61.9822532089	67.0882626738	59.8043740957	5.902179102
chr15	EviAnn	gene	3676813	3682197	.	+	.	LOC_00005730	geneID=LOC_00005730	protein_coding	Natriuretic_and_helokinestatin_peptides_(Heloderma_suspectum_cinctum)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3686783	3692723	.	+	.	LOC_00005731	geneID=LOC_00005731	protein_coding	Natriuretic_peptides_A_(Aquarana_catesbeiana)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3701834	3705271	.	+	.	LOC_00005732	geneID=LOC_00005732	protein_coding	NPPA:_Natriuretic_peptides_A_(Gallus_gallus)	NA	NA	NA	NA	NA	NA	NA
chr15	EviAnn	gene	3718214	3753491	.	-	.	LOC_00005733	geneID=LOC_00005733	protein_coding	Clcn6:_H(+)/Cl(-)_exchange_transporter_6_(Mus_musculus)	chr15	13382	12.7809627167	15.4541972008	24.0258037938	17.4203212371	4.1226993229
