"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","rna_10","rna_16","rna_KI01","Mmean","value"
"chr11","EviAnn","gene",16324187,16343946,".","-",".","LOC_00010428","geneID=LOC_00010428","protein_coding","SHF:_SH2_domain-containing_adapter_protein_F_(Homo_sapiens)",4246,2.47361,2.8541,3.02753,2.78508,1.47771876883842
"chr11","EviAnn","gene",16361873,16392206,".","+",".","LOC_00010429","geneID=LOC_00010429","protein_coding","Slc28a2:_Sodium/nucleoside_cotransporter_2_(Rattus_norvegicus)",2007,3.31314,0,0,1.10438,0.143236666488381
"chr11","EviAnn","gene",16475987,16523698,".","+",".","LOC_00010431","geneID=LOC_00010431","protein_coding","Znf592:_Zinc_finger_protein_592_(Mus_musculus)",15999.5,1.01537,3.32743,0.655327,1.66604233333333,0.736425059355397
"chr11","EviAnn","gene",16528179,16541851,".","+",".","LOC_00010432","geneID=LOC_00010432","protein_coding","SEC11A:_Signal_peptidase_complex_catalytic_subunit_SEC11A_(Pongo_abelii)",4656,1.38729,0.518485,0,0.635258333333333,-0.654584699178086
"chr11","EviAnn","gene",16784617,16798105,".","-",".","LOC_00010437","geneID=LOC_00010437","protein_coding","Trim69:_E3_ubiquitin-protein_ligase_TRIM69_(Mus_musculus)",2206,0.99536,0,1.19597,0.730443333333333,-0.45315573957252
"chr11","EviAnn","gene",16807068,16816746,".","-",".","LOC_00010438","geneID=LOC_00010438","protein_coding","B2M:_Beta-2-microglobulin_(Bos_taurus)",1134,27.6356,36.6168,12.7113,25.6545666666667,4.6811437519454
"chr11","EviAnn","gene",16824122,16845671,".","+",".","LOC_00010439","geneID=LOC_00010439","protein_coding","patl2:_Protein_PAT1_homolog_2_(Xenopus_laevis)",4980,1.67564,3.17556,1.30484,2.05201333333333,1.03704010515129
"chr11","EviAnn","gene",16848958,16879163,".","+",".","LOC_00010440","geneID=LOC_00010440","protein_coding","SNX1:_Sorting_nexin-1_(Homo_sapiens)",2583.6,0,0.518183,0,0.172727666666667,-2.53342890972772
"chr11","EviAnn","gene",16880573,16899781,".","+",".","LOC_00010441","geneID=LOC_00010441","protein_coding","SNX22:_Sorting_nexin-22_(Homo_sapiens)",2295,24.7851,9.88586,5.728,13.46632,3.75128374798102
"chr11","EviAnn","gene",16900022,16986666,".","-",".","LOC_00010442","geneID=LOC_00010442","protein_coding","PPIB:_Peptidyl-prolyl_cis-trans_isomerase_B_(Homo_sapiens)",636,4.49392,9.211,3.53391,5.74627666666667,2.52262745615254
"chr11","EviAnn","gene",17002326,17076380,".","+",".","LOC_00010444","geneID=LOC_00010444","protein_coding","TRIP4:_Activating_signal_cointegrator_1_(Homo_sapiens)",2648.25,0,0.683647,3.68801,1.457219,0.543217710944825
"chr11","EviAnn","gene",17091162,17177536,".","+",".","LOC_00010445","geneID=LOC_00010445","protein_coding","function_unknown",56112,36.8267,30.4795,33.6669,33.6577,5.07286468831203
"chr11","EviAnn","gene",17100790,17178559,".","+",".","LOC_00010447","geneID=LOC_00010447","protein_coding","function_unknown",57617,2.10882,2.33981,4.8683,3.10564333333333,1.63489215336416
"chr11","EviAnn","gene",17100800,17232489,".","+",".","LOC_00010446","geneID=LOC_00010446","protein_coding","ZNF609:_Zinc_finger_protein_609_(Homo_sapiens)",6197.18,21.4716,22.1804,24.3684,22.6734666666667,4.50293308413315
"chr11","EviAnn","gene",17411722,17418756,".","-",".","LOC_00010449","geneID=LOC_00010449","protein_coding","ZNF420:_Zinc_finger_protein_420_(Homo_sapiens)",3005.26,2.85105,0,2.42642,1.75915666666667,0.814883971813996
"chr11","EviAnn","gene",17422898,17446304,".","-",".","LOC_00010450","geneID=LOC_00010450","protein_coding","GTF2IRD2:_General_transcription_factor_II-I_repeat_domain-containing_protein_2_(Bos_taurus)",9877.67,0,1.22119,0.199714,0.473634666666667,-1.07815341510773
"chr11","EviAnn","gene",17448046,17456250,".","-",".","LOC_00010451","geneID=LOC_00010451","protein_coding","ZKSCAN7:_Zinc_finger_protein_with_KRAB_and_SCAN_domains_7_(Homo_sapiens)",4295,0.977632,1.69205,0,0.889894,-0.168294595641886
"chr11","EviAnn","gene",17484446,17495725,".","+",".","LOC_00010453","geneID=LOC_00010453","protein_coding","ZNF724:_Zinc_finger_protein_724_(Homo_sapiens)",2989,12.9043,22.3193,10.3487,15.1907666666667,3.92512277830777
"chr11","EviAnn","gene",17501153,17511413,".","-",".","LOC_00010454","geneID=LOC_00010454","protein_coding","RPS17:_Small_ribosomal_subunit_protein_eS17_(Oryctolagus_cuniculus)",1251.5,0,6.08891,0,2.02963666666667,1.02122148794587
"chr11","EviAnn","gene",17610534,17686616,".","-",".","LOC_00010456","geneID=LOC_00010456","protein_coding","AP3B2:_AP-3_complex_subunit_beta-2_(Homo_sapiens)",4120,0.510583,0.616671,0.974911,0.700721666666667,-0.513086589109277
"chr11","EviAnn","gene",17716936,17728606,".","+",".","LOC_00010457","geneID=LOC_00010457","protein_coding","NR2E3:_Photoreceptor-specific_nuclear_receptor_(Bos_taurus)",1395,3.33066,3.82982,4.75497,3.97181666666667,1.98979903167921
"chr11","EviAnn","gene",17737592,17934827,".","-",".","LOC_00010458","geneID=LOC_00010458","protein_coding","MYO9A:_Unconventional_myosin-IXa_(Homo_sapiens)",5696,0,1.18852,0.562983,0.583834333333333,-0.776369041509861
"chr11","EviAnn","gene",17934958,17945475,".","+",".","LOC_00010459","geneID=LOC_00010459","protein_coding","SENP8:_Sentrin-specific_protease_8_(Homo_sapiens)",2837.97,7.57794,6.22,13.235,9.01098,3.17168401661099
"chr11","EviAnn","gene",17952718,18031186,".","-",".","LOC_00010460","geneID=LOC_00010460","protein_coding","Gramd2a:_GRAM_domain-containing_protein_2A_(Mus_musculus)",1874.38,2.62834,1.52712,1.33343,1.82963,0.871551926577348
"chr11","EviAnn","gene",17990903,18025212,".","+",".","LOC_00010462","geneID=LOC_00010462","protein_coding","function_unknown",34310,224.824,157.76,200.684,194.422666666667,7.60305261438354
"chr11","EviAnn","gene",18035994,18069427,".","-",".","LOC_00010464","geneID=LOC_00010464","protein_coding","PKM:_Pyruvate_kinase_PKM_(Homo_sapiens)",4965,6.3034,0,2.53068,2.94469333333333,1.55811739652907
"chr11","EviAnn","gene",18162386,18222084,".","+",".","LOC_00010465","geneID=LOC_00010465","protein_coding","ATOSA:_Atos_homolog_protein_A_(Gallus_gallus)",33227.1,2.96628,3.2503,3.38072,3.1991,1.67766609006197
"chr11","EviAnn","gene",18516616,18527725,".","+",".","LOC_00010469","geneID=LOC_00010469","protein_coding","NR13:_Anti-apoptotic_protein_NR13_(Gallus_gallus)",2228,11.8154,1.13444,0,4.31661333333333,2.10989986716433
"chr11","EviAnn","gene",18638832,18689108,".","-",".","LOC_00010470","geneID=LOC_00010470","protein_coding","MAPK6:_Mitogen-activated_protein_kinase_6_(Gallus_gallus)",5817.29,1.43485,3.1429,1.07891,1.88555333333333,0.914987958035831
"chr11","EviAnn","gene",18760161,18828601,".","-",".","LOC_00010471","geneID=LOC_00010471","protein_coding","LEO1:_RNA_polymerase-associated_protein_LEO1_(Pongo_abelii)",10992,34.1938,29.7105,29.572,31.1587666666667,4.96156622433643
"chr11","EviAnn","gene",18828491,18882057,".","-",".","LOC_00010472","geneID=LOC_00010472","protein_coding","TMOD3:_Tropomodulin-3_(Homo_sapiens)",8707,51.5703,29.2186,50.2641,43.6843333333333,5.44904406855419
"chr11","EviAnn","gene",18999506,19023843,".","+",".","LOC_00010474","geneID=LOC_00010474","protein_coding","LYSMD2:_LysM_and_putative_peptidoglycan-binding_domain-containing_protein_2_(Homo_sapiens)",5259,21.3761,0.913754,4.76828,9.019378,3.17302794487126
"chr11","EviAnn","gene",19102740,19112770,".","-",".","LOC_00010476","geneID=LOC_00010476","protein_coding","jockey\pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_funebris)",3100,171.158,99.1734,149.604,139.978466666667,7.12906109964079
"chr11","EviAnn","gene",19487565,19611481,".","-",".","LOC_00010480","geneID=LOC_00010480","protein_coding","DMXL2:_DmX-like_protein_2_(Homo_sapiens)",10394.3,0,0.421257,0,0.140419,-2.83218993594576
"chr11","EviAnn","gene",21511870,21525502,".","+",".","LOC_00010484","geneID=LOC_00010484","protein_coding","SLC24A5:_Sodium/potassium/calcium_exchanger_5_(Homo_sapiens)",1768.42,81.3645,76.5728,77.1254,78.3542333333333,6.29193931781773
"chr11","EviAnn","gene",21555143,21562328,".","+",".","LOC_00010486","geneID=LOC_00010486","protein_coding","CTXN2:_Cortexin-2_(Homo_sapiens)",610,4.77029,0,0,1.59009666666667,0.669114473862728
"chr11","EviAnn","gene",21582905,21647153,".","+",".","LOC_00010487","geneID=LOC_00010487","protein_coding","SLC12A1:_Solute_carrier_family_12_member_1_(Oryctolagus_cuniculus)",3290,8.4148,10.3808,7.78881,8.86147,3.14754604254974
"chr11","EviAnn","gene",21653443,21666014,".","-",".","LOC_00010489","geneID=LOC_00010489","protein_coding","function_unknown",2258,1.94066,2.23605,0,1.39223666666667,0.47740447613215
"chr11","EviAnn","gene",22017066,22078186,".","-",".","LOC_00010491","geneID=LOC_00010491","protein_coding","CEP152:_Centrosomal_protein_of_152_kDa_(Homo_sapiens)",5577.33,0,0.483154,0,0.161051333333333,-2.6344074901404
"chr11","EviAnn","gene",22179222,22225832,".","-",".","LOC_00010493","geneID=LOC_00010493","protein_coding","SECISBP2L:_Selenocysteine_insertion_sequence-binding_protein_2-like_(Homo_sapiens)",21389,0.66257,2.21659,0.228318,1.035826,0.0507816767502479
"chr11","EviAnn","gene",22232705,22279428,".","-",".","LOC_00010494","geneID=LOC_00010494","protein_coding","Cops2:_COP9_signalosome_complex_subunit_2_(Rattus_norvegicus)",8056.14,33.1949,34.1278,28.3414,31.8880333333333,4.99494321826182
"chr11","EviAnn","gene",22457743,22508986,".","+",".","LOC_00010496","geneID=LOC_00010496","protein_coding","FGF7:_Fibroblast_growth_factor_7_(Pongo_abelii)",1789,7.52974,2.88954,1.50625,3.97517666666667,1.99101897875175
"chr11","EviAnn","gene",22858658,22873783,".","+",".","LOC_00010502","geneID=LOC_00010502","protein_coding","afg2b:_ATPase_family_gene_2_protein_homolog_B_(Xenopus_tropicalis)",4777,2.6247,1.88201,2.63421,2.38030666666667,1.25114745503657
"chr11","EviAnn","gene",22875626,22961329,".","+",".","LOC_00010503","geneID=LOC_00010503","protein_coding","Nmes1:_Normal_mucosa_of_esophagus-specific_gene_1_protein_(Rattus_norvegicus)",12852.1,78.0547,96.4778,84.0475,86.1933333333333,6.42950438254416
"chr11","EviAnn","gene",22920761,22964177,".","-",".","LOC_00010504","geneID=LOC_00010504","protein_coding","Slc30a4:_Probable_proton-coupled_zinc_antiporter_SLC30A4_(Mus_musculus)",14019,1000.88,830.319,530.614,787.271,9.62071652570706
"chr11","EviAnn","gene",22964296,23027633,".","-",".","LOC_00010507","geneID=LOC_00010507","protein_coding","NMRK2:_Nicotinamide_riboside_kinase_2_(Homo_sapiens)",16478.5,1437.2,1007.38,861.798,1102.126,10.1060734533841
"chr11","EviAnn","gene",22980699,23013854,".","+",".","LOC_00010506","geneID=LOC_00010506","protein_coding","SQOR:_Sulfide:quinone_oxidoreductase,_mitochondrial_(Homo_sapiens)",3116,92.5812,56.1491,65.1804,71.3035666666667,6.15590233822716
"chr11","EviAnn","gene",23124580,23234906,".","+",".","LOC_00010509","geneID=LOC_00010509","protein_coding","TRPM7:_Transient_receptor_potential_cation_channel_subfamily_M_member_7_(Homo_sapiens)",10130.6,16.8746,7.10504,12.0415,12.0070466666667,3.58580943466417
"chr11","EviAnn","gene",23241463,23264341,".","+",".","LOC_00010510","geneID=LOC_00010510","protein_coding","USP50:_Ubiquitin_carboxyl-terminal_hydrolase_50_(Macaca_fascicularis)",1891,86.118,61.1293,65.1528,70.8000333333333,6.14567813443043
"chr11","EviAnn","gene",23259242,23314961,".","-",".","LOC_00010511","geneID=LOC_00010511","protein_coding","USP8:_Ubiquitin_carboxyl-terminal_hydrolase_8_(Homo_sapiens)",7787.18,9.24418,11.1054,8.45092,9.60016666666667,3.26305945240528
"chr11","EviAnn","gene",23314919,23346685,".","+",".","LOC_00010512","geneID=LOC_00010512","protein_coding","GABPB1:_GA-binding_protein_subunit_beta-1_(Bos_taurus)",3269,0.651707,1.17253,0.61178,0.812005666666667,-0.300438299443201
"chr11","EviAnn","gene",23539214,23727954,".","+",".","LOC_00010516","geneID=LOC_00010516","protein_coding","PDE8A:_High_affinity_cAMP-specific_and_IBMX-insensitive_3',5'-cyclic_phosphodiesterase_8A_(Homo_sapiens)",3929.33,0,0.436903,0,0.145634333333333,-2.77957758350855
"chr11","EviAnn","gene",23803981,23837630,".","+",".","LOC_00010518","geneID=LOC_00010518","protein_coding","Whamm:_WASP_homolog-associated_protein_with_actin,_membranes_and_microtubules_(Mus_musculus)",6399.01,12.9703,10.9533,10.1884,11.3706666666667,3.50724493737593
"chr11","EviAnn","gene",23988342,24001460,".","+",".","LOC_00010520","geneID=LOC_00010520","protein_coding","RAMAC:_RNA_guanine-N7_methyltransferase_activating_subunit_(Homo_sapiens)",2924.32,602.501,378.03,384.028,454.853,8.82925655830177
"chr11","EviAnn","gene",23997999,24036537,".","-",".","LOC_00010521","geneID=LOC_00010521","protein_coding","function_unknown",18198,10.3626,7.62532,7.25643,8.41478333333333,3.07292612503713
"chr11","EviAnn","gene",24001234,24036587,".","-",".","LOC_00010523","geneID=LOC_00010523","protein_coding","UPF0235_protein_C15orf40_homolog_(Mus_musculus)",16945,2.63468,14.0895,3.32172,6.68196666666667,2.74027278573265
"chr11","EviAnn","gene",24037379,24059526,".","-",".","LOC_00010524","geneID=LOC_00010524","protein_coding","BTBD1:_BTB/POZ_domain-containing_protein_1_(Homo_sapiens)",5373,17.8087,7.14943,4.66357,9.8739,3.30362003395539
"chr11","EviAnn","gene",24071235,24105081,".","+",".","LOC_00010525","geneID=LOC_00010525","protein_coding","TM6SF1:_Transmembrane_6_superfamily_member_1_(Homo_sapiens)",1311,0,0,2.1438,0.7146,-0.484792180964179
"chr11","EviAnn","gene",24496990,24524623,".","-",".","LOC_00010529","geneID=LOC_00010529","protein_coding","lmnb3.L:_Lamin-B3_(Xenopus_laevis)",3280,1.94816,3.11858,0,1.68891333333333,0.756095298075233
"chr11","EviAnn","gene",24967137,25086240,".","+",".","LOC_00010532","geneID=LOC_00010532","protein_coding","EFL1:_Elongation_factor-like_GTPase_1_(Homo_sapiens)",20581.4,11.2032,15.1817,14.9476,13.7775,3.78424222205778
"chr11","EviAnn","gene",25016948,25025563,".","-",".","LOC_00010533","geneID=LOC_00010533","protein_coding","function_unknown",2656,85.738,57.2061,62.7901,68.5780666666667,6.09967532768631
"chr11","EviAnn","gene",25129739,25136332,".","+",".","LOC_00010534","geneID=LOC_00010534","protein_coding","MEX3B:_RNA-binding_protein_MEX3B_(Homo_sapiens)",1829,8.57029,20.0722,2.93935,10.52728,3.39606082114474
"chr11","EviAnn","gene",25134306,25136960,".","-",".","LOC_00010535","geneID=LOC_00010535","protein_coding","function_unknown",1388,20.1007,23.1125,28.0974,23.7702,4.57108213690538
"chr11","EviAnn","gene",25670839,25683550,".","+",".","LOC_00010536","geneID=LOC_00010536","protein_coding","STARD5:_StAR-related_lipid_transfer_protein_5_(Bos_taurus)",1690,12.0401,15.3976,8.02557,11.82109,3.56329116467455
"chr11","EviAnn","gene",25919640,26018820,".","-",".","LOC_00010544","geneID=LOC_00010544","protein_coding","CEMIP:_Cell_migration-inducing_and_hyaluronan-binding_protein_(Homo_sapiens)",4066,0.517697,0,0,0.172565666666667,-2.53478263765241
"chr11","EviAnn","gene",26659004,26711703,".","+",".","LOC_00010552","geneID=LOC_00010552","protein_coding","MTHFS:_5-formyltetrahydrofolate_cyclo-ligase_(Oryctolagus_cuniculus)",2769,49.0179,25.116,38.3646,37.4995,5.22879945443376
"chr11","EviAnn","gene",27078528,27091722,".","+",".","LOC_00010556","geneID=LOC_00010556","protein_coding","PEX11A:_Peroxisomal_membrane_protein_11A_(Homo_sapiens)",2993,1.43176,3.37299,0.861166,1.88863866666667,0.917346712487663
"chr11","EviAnn","gene",27145145,27185866,".","+",".","LOC_00010560","geneID=LOC_00010560","protein_coding","Kif7:_Kinesin-like_protein_KIF7_(Mus_musculus)",11044.4,100.528,66.2759,87.46,84.7546333333333,6.40522033398362
"chr11","EviAnn","gene",27177300,27207996,".","-",".","LOC_00010561","geneID=LOC_00010561","protein_coding","TICRR:_Treslin_(Homo_sapiens)",6194.3,107.275,100.108,68.2714,91.8848,6.52175431898801
"chr11","EviAnn","gene",27623367,27653678,".","+",".","LOC_00010563","geneID=LOC_00010563","protein_coding","polg:_DNA_polymerase_subunit_gamma-1_(Xenopus_laevis)",4618,129.15,67.9807,93.3189,96.8165333333333,6.59718153206953
"chr11","EviAnn","gene",27644664,27701036,".","-",".","LOC_00010564","geneID=LOC_00010564","protein_coding","FANCI:_Fanconi_anemia_group_I_protein_(Gallus_gallus)",10489,11.1053,7.03765,6.10693,8.08329333333333,3.01494320233883
"chr11","EviAnn","gene",27701029,27731619,".","+",".","LOC_00010565","geneID=LOC_00010565","protein_coding","RLBP1:_Retinaldehyde-binding_protein_1_(Gallus_gallus)",2511,8.06464,21.4795,25.7246,18.4229133333333,4.20342931696847
"chr11","EviAnn","gene",27720147,27733398,".","+",".","LOC_00010566","geneID=LOC_00010566","protein_coding","CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)",9201,70.2995,92.894,105.875,89.6895,6.48686719280108
"chr11","EviAnn","gene",27728158,27780893,".","-",".","LOC_00010567","geneID=LOC_00010567","protein_coding","Abhd2:_Monoacylglycerol_lipase_ABHD2_(Mus_musculus)",11102.2,66.5652,33.6298,25.7114,41.9688,5.39124530819936
"chr11","EviAnn","gene",28340778,28384018,".","+",".","LOC_00010572","geneID=LOC_00010572","protein_coding","DET1:_DET1_homolog_(Homo_sapiens)",15943.5,9.92067,6.89252,5.07841,7.2972,2.86734299535976
"chr11","EviAnn","gene",28384092,28420649,".","-",".","LOC_00010573","geneID=LOC_00010573","protein_coding","MRPS11:_Small_ribosomal_subunit_protein_uS11m_(Bos_taurus)",9218.17,244.021,136.719,209.677,196.805666666667,7.62062795086957
"chr11","EviAnn","gene",28420379,28432211,".","+",".","LOC_00010574","geneID=LOC_00010574","protein_coding","function_unknown",5320,17.8144,10.6866,11.1633,13.2214333333333,3.72480668253475
"chr11","EviAnn","gene",31325880,31696758,".","-",".","LOC_00010581","geneID=LOC_00010581","protein_coding","AKAP13:_A-kinase_anchor_protein_13_(Homo_sapiens)",13067,2.49319,2.42433,5.64594,3.52115333333333,1.8160480526549
"chr11","EviAnn","gene",31721969,31768334,".","-",".","LOC_00010582","geneID=LOC_00010582","protein_coding","PLEKHO2:_Pleckstrin_homology_domain-containing_family_O_member_2_(Homo_sapiens)",2891.4,0,5.5469,3.48496,3.01062,1.59006062280438
"chr11","EviAnn","gene",31858819,31977745,".","+",".","LOC_00010583","geneID=LOC_00010583","protein_coding","PCSK6:_Proprotein_convertase_subtilisin/kexin_type_6_(Homo_sapiens)",2085.38,0,1.21143,0,0.40381,-1.30825145669997
"chr11","EviAnn","gene",31988897,32003898,".","+",".","LOC_00010584","geneID=LOC_00010584","protein_coding","SNRPA1:_U2_small_nuclear_ribonucleoprotein_A'_(Macaca_fascicularis)",2315,1.8886,10.8955,0,4.26136666666667,2.09131619266205
"chr11","EviAnn","gene",32013323,32027234,".","+",".","LOC_00010585","geneID=LOC_00010585","protein_coding","SELENOS:_Selenoprotein_S_(Bos_taurus)",2224,0.986551,2.65221,0,1.21292033333333,0.278484794910695
"chr11","EviAnn","gene",32055559,32183974,".","+",".","LOC_00010586","geneID=LOC_00010586","protein_coding","Chsy1:_Chondroitin_sulfate_synthase_1_(Mus_musculus)",3969,1.06197,0,0,0.35399,-1.49821948925192
"chr11","EviAnn","gene",32265940,32401091,".","-",".","LOC_00010587","geneID=LOC_00010587","protein_coding","LRRK1:_Leucine-rich_repeat_serine/threonine-protein_kinase_1_(Homo_sapiens)",5020,1.24632,0,0,0.41544,-1.26728796434902
"chr11","EviAnn","gene",32643441,32690885,".","-",".","LOC_00010589","geneID=LOC_00010589","protein_coding","ASB7:_Ankyrin_repeat_and_SOCS_box_protein_7_(Homo_sapiens)",5222,0.398764,0,0,0.132921333333333,-2.91135542500433
"chr11","EviAnn","gene",32692178,32714583,".","+",".","LOC_00010590","geneID=LOC_00010590","protein_coding","LINS1:_Protein_Lines_homolog_1_(Homo_sapiens)",7551.13,0,0.848377,0.885591,0.577989333333333,-0.790885226537014
"chr11","EviAnn","gene",32820013,33089729,".","+",".","LOC_00010592","geneID=LOC_00010592","protein_coding","ADAMTS17:_A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_17_(Homo_sapiens)",2400,0,1.28211,0,0.42737,-1.22644245588889
"chr11","EviAnn","gene",33112750,33131912,".","+",".","LOC_00010594","geneID=LOC_00010594","protein_coding","lysmd4:_LysM_and_putative_peptidoglycan-binding_domain-containing_protein_4_(Xenopus_laevis)",2613,92.7537,74.4598,52.7754,73.3296333333333,6.19632442044462
"chr11","EviAnn","gene",33464750,33503517,".","-",".","LOC_00010598","geneID=LOC_00010598","protein_coding","Synm:_Synemin_(Mus_musculus)",12106,5.10314,5.78671,4.49807,5.12930666666667,2.35876382852974
"chr11","EviAnn","gene",33589253,33839873,".","+",".","LOC_00010599","geneID=LOC_00010599","protein_coding","Igf1r:_Insulin-like_growth_factor_1_receptor_(Rattus_norvegicus)",6289,4.935,4.93731,3.17128,4.34786333333333,2.12030659275229
"chr11","EviAnn","gene",33843311,33867559,".","-",".","LOC_00010600","geneID=LOC_00010600","protein_coding","PGPEP1:_Pyroglutamyl-peptidase_1_(Homo_sapiens)",1357,41.2694,41.516,20.5989,34.4614333333333,5.10691080283118
"chr11","EviAnn","gene",37406551,37604351,".","-",".","LOC_00010605","geneID=LOC_00010605","protein_coding","MCTP2:_Multiple_C2_and_transmembrane_domain-containing_protein_2_(Homo_sapiens)",3092,0,1.38512,0,0.461706666666667,-1.11495153101318
"chr11","EviAnn","gene",38144508,38250203,".","-",".","LOC_00010608","geneID=LOC_00010608","protein_coding","CHD2:_Chromodomain-helicase-DNA-binding_protein_2_(Homo_sapiens)",5981.37,4.29771,3.78863,2.63615,3.57416333333333,1.83760556465521
"chr11","EviAnn","gene",38348029,38391948,".","+",".","LOC_00010609","geneID=LOC_00010609","protein_coding","Fam174b:_Membrane_protein_FAM174B_(Danio_rerio)",3815.49,65.3094,31.9704,67.8225,55.0341,5.78225390727858
"chr11","EviAnn","gene",38373689,38393880,".","+",".","LOC_00010610","geneID=LOC_00010610","protein_coding","function_unknown",19298,2.7043,2.57905,2.22633,2.50322666666667,1.3237889326843
"chr11","EviAnn","gene",38411749,38457373,".","-",".","LOC_00010611","geneID=LOC_00010611","protein_coding","ST8SIA2:_Alpha-2,8-sialyltransferase_8B_(Homo_sapiens)",1211,5.89644,5.1194,5.33082,5.44888666666667,2.44596148409881
"chr11","EviAnn","gene",38516566,38678016,".","-",".","LOC_00010612","geneID=LOC_00010612","protein_coding","SLCO3A1:_Solute_carrier_organic_anion_transporter_family_member_3A1_(Bos_taurus)",17546,0.834878,1.76829,1.33351,1.312226,0.392016211572227
"chr11","EviAnn","gene",38962681,38994219,".","+",".","LOC_00010614","geneID=LOC_00010614","protein_coding","ANKDD1A:_Ankyrin_repeat_and_death_domain-containing_protein_1A_(Homo_sapiens)",3512,19.3291,26.4755,14.5392,20.1146,4.33017114362624
"chr11","EviAnn","gene",39028120,39064570,".","+",".","LOC_00010617","geneID=LOC_00010617","protein_coding","CLPX:_ATP-dependent_clpX-like_chaperone,_mitochondrial_(Homo_sapiens)",3798,91.2089,80.1982,54.2269,75.2113333333333,6.23287816785187
"chr11","EviAnn","gene",39068333,39077321,".","+",".","LOC_00010618","geneID=LOC_00010618","protein_coding","PDCD7:_Programmed_cell_death_protein_7_(Homo_sapiens)",3203,12.6537,32.2577,32.0524,25.6546,4.68114562645781
"chr11","EviAnn","gene",39072449,39112140,".","+",".","LOC_00010619","geneID=LOC_00010619","protein_coding","F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)",1359,1.71662,5.67074,0,2.46245333333333,1.30009638389631
"chr11","EviAnn","gene",39124597,39126090,".","-",".","LOC_00010620","geneID=LOC_00010620","protein_coding","Kbtbd13:_Kelch_repeat_and_BTB_domain-containing_protein_13_(Mus_musculus)",1494,6.15554,17.7017,14.7588,12.8720133333333,3.68616582046191
"chr11","EviAnn","gene",39217553,39245073,".","-",".","LOC_00010624","geneID=LOC_00010624","protein_coding","CILP:_Cartilage_intermediate_layer_protein_1_(Homo_sapiens)",3000.96,12.8494,10.6366,6.66676,10.05092,3.32925565785278
"chr11","EviAnn","gene",39278491,39284000,".","+",".","LOC_00010625","geneID=LOC_00010625","protein_coding","Gonadotropin-releasing_hormone_II_receptor_(Clarias_gariepinus)",1149,52.3141,28.838,50.0567,43.7362666666667,5.4507581718953
"chr11","EviAnn","gene",39741051,39766963,".","+",".","LOC_00010630","geneID=LOC_00010630","protein_coding","HACD3:_Very-long-chain_(3R)-3-hydroxyacyl-CoA_dehydratase_3_(Bos_taurus)",5316,0.782902,0.451802,1.4146,0.883101333333333,-0.179349102416183
"chr11","EviAnn","gene",39771376,39785399,".","-",".","LOC_00010631","geneID=LOC_00010631","protein_coding","INTS14:_Integrator_complex_subunit_14_(Gallus_gallus)",2647.23,6.53297,17.8499,7.87324,10.7520366666667,3.42653805801325
"chr11","EviAnn","gene",39801186,39879606,".","-",".","LOC_00010632","geneID=LOC_00010632","protein_coding","DENND4A:_C-myc_promoter-binding_protein_(Homo_sapiens)",10651,0.383626,1.10758,1.84998,1.11372866666667,0.15539779736877
"chr11","EviAnn","gene",39905148,39934681,".","+",".","LOC_00010633","geneID=LOC_00010633","protein_coding","RAB11A:_Ras-related_protein_Rab-11A_(Gallus_gallus)",4093,25.7058,17.7949,23.5211,22.3406,4.48159602759313
"chr11","EviAnn","gene",40396181,40429326,".","+",".","LOC_00010635","geneID=LOC_00010635","protein_coding","DIS3L:_DIS3-like_exonuclease_1_(Pongo_abelii)",6836.33,362.288,333.836,711.495,469.206333333333,8.87407867672795
"chr11","EviAnn","gene",40416879,40438435,".","-",".","LOC_00010636","geneID=LOC_00010636","protein_coding","TIPIN:_TIMELESS-interacting_protein_(Gallus_gallus)",1125.47,64.3547,42.6777,36.0672,47.6998666666667,5.57591332842197
"chr11","EviAnn","gene",40452113,40499440,".","+",".","LOC_00010637","geneID=LOC_00010637","protein_coding","MAP2K1:_Dual_specificity_mitogen-activated_protein_kinase_kinase_1_(Fragment)_(Serinus_canaria)",2059,7.51556,9.8936,5.15846,7.52254,2.91121987289769
"chr11","EviAnn","gene",40509471,40515577,".","-",".","LOC_00010639","geneID=LOC_00010639","protein_coding","RPL4:_Large_ribosomal_subunit_protein_uL4_(Canis_lupus_familiaris)",1405.23,16.513,15.9501,19.4386,17.3005666666667,4.11274738788237
"chr11","EviAnn","gene",40685769,40759855,".","+",".","LOC_00010641","geneID=LOC_00010641","protein_coding","SMAD6:_Mothers_against_decapentaplegic_homolog_6_(Gallus_gallus)",7168.34,36.3184,40.2726,50.8927,42.4945666666667,5.40920648568696
"chr11","EviAnn","gene",40938163,41026004,".","+",".","LOC_00010642","geneID=LOC_00010642","protein_coding","SMAD3:_Mothers_against_decapentaplegic_homolog_3_(Gallus_gallus)",9203,39.628,24.4226,30.8619,31.6375,4.98356369722332
