Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	SRR2889295	SRR2889296	SRR2889297
NC_052534.1	cmsearch	gene	56448881	56449017	.	-	.	gene-LOC112532241	Name=LOC112532241	snoRNA	Dbxref=CGNC:85581,GeneID:112532241	NA	NA	NA	NA
NC_052534.1	BestRefSeq	gene	56449342	56449441	.	-	.	gene-MIR1454	Name=MIR1454	miRNA	Dbxref=CGNC:60561,GeneID:100315701,miRBase:MI0007059	NA	NA	NA	NA
NC_052534.1	cmsearch	gene	56450678	56450750	.	-	.	gene-LOC112532232	Name=LOC112532232	snoRNA	Dbxref=CGNC:85572,GeneID:112532232	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	56456061	56457488	.	-	.	gene-LOC107052993	Name=LOC107052993	lncRNA	Dbxref=CGNC:75992,GeneID:107052993	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	56457585	56471408	.	+	.	gene-SLC18B1	Name=SLC18B1	protein_coding	Dbxref=CGNC:14049,GeneID:421699	1377	2.16284	2.16035	3.69012
NC_052534.1	BestRefSeq%2CGnomon	gene	56479597	56489691	.	+	.	gene-VNN2	Name=VNN2	protein_coding	Dbxref=CGNC:51528,GeneID:421702	1476	2.09985	10.7682	4.92796
NC_052534.1	BestRefSeq%2CGnomon	gene	56481075	56505704	.	+	.	gene-LOC107056139	Name=LOC107056139	protein_coding	Dbxref=CGNC:79092,GeneID:107056139	1491	1.75073	2.2701	1.47522
NC_052534.1	Gnomon	gene	56497945	56509111	.	+	.	gene-TAAR1	Name=TAAR1	protein_coding	Dbxref=CGNC:10460,GeneID:768536	999	0.208061	0.207832	0.852989
NC_052534.1	Gnomon	gene	56516818	56518251	.	+	.	gene-TAAR2	Name=TAAR2	protein_coding	Dbxref=CGNC:66153,GeneID:100859322	1029	0	0	0
NC_052534.1	Gnomon	gene	56525567	56526595	.	+	.	gene-TAAR5	Name=TAAR5	protein_coding	Dbxref=CGNC:10461,GeneID:768558	1029	0	0	0
NC_052534.1	BestRefSeq%2CGnomon	gene	56534334	56566411	.	+	.	gene-STX7	Name=STX7	protein_coding	Dbxref=CGNC:2118,GeneID:426930	777	30.0908	18.2603	26.8429
NC_052534.1	Gnomon	gene	56580956	56585646	.	-	.	gene-LOC107052992	Name=LOC107052992	lncRNA	Dbxref=CGNC:75991,GeneID:107052992	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	56584777	56636814	.	+	.	gene-MOXD1	Name=MOXD1	protein_coding	Dbxref=CGNC:2104,GeneID:395333	1512	0.129943	0.389376	0
NC_052534.1	Gnomon	gene	56667267	56668157	.	+	.	gene-LOC121110354	Name=LOC121110354	lncRNA	Dbxref=CGNC:90217,GeneID:121110354	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	56782143	56791755	.	-	.	gene-LOC107052990	Name=LOC107052990	lncRNA	Dbxref=CGNC:75989,GeneID:107052990	NA	NA	NA	NA
NC_052534.1	BestRefSeq	gene	56836500	56839471	.	+	.	gene-CCN2	Name=CCN2	protein_coding	Dbxref=CGNC:2102,GeneID:374135	1035	15.5718	21.5371	12.6841
NC_052534.1	Gnomon	gene	56853960	56904588	.	-	.	gene-ENPP1	Name=ENPP1	protein_coding	Dbxref=CGNC:2090,GeneID:426929	2647.9	3.54771	2.33299	2.45796
NC_052534.1	Gnomon	gene	56897532	56902388	.	+	.	gene-LOC121113174	Name=LOC121113174	lncRNA	Dbxref=CGNC:93020,GeneID:121113174	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	56920443	56955089	.	-	.	gene-ENPP3	Name=ENPP3	protein_coding	Dbxref=CGNC:2071,GeneID:426928	2661	5.99971	6.20399	6.27761
NC_052534.1	BestRefSeq	gene	56959691	56994553	.	+	.	gene-MED23	Name=MED23	protein_coding	Dbxref=CGNC:2010,GeneID:426927	4113	3.1326	3.97801	3.9324
NC_052534.1	BestRefSeq	gene	56961607	56961711	.	+	.	gene-MIR6582	Name=MIR6582	miRNA	Dbxref=CGNC:71932,GeneID:102466687,miRBase:MI0022401	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	57021360	57025719	.	-	.	gene-LOC107053057	Name=LOC107053057	lncRNA	Dbxref=CGNC:76056,GeneID:107053057	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	57072318	57145412	.	-	.	gene-AKAP7	Name=AKAP7	protein_coding	Dbxref=CGNC:15953,GeneID:426926	1407	1.4076	0.702989	1.00859
NC_052534.1	Gnomon	gene	57072318	57096797	.	-	.	gene-LOC121110170	Name=LOC121110170	protein_coding	Dbxref=CGNC:90033,GeneID:121110170	378	0.763991	0	0
NC_052534.1	Gnomon	gene	57116653	57123170	.	+	.	gene-LOC101748521	Name=LOC101748521	protein_coding	Dbxref=CGNC:68004,GeneID:101748521	2442	0	0	0
NC_052534.1	Gnomon	gene	57145376	57159911	.	+	.	gene-LOC124417890	Name=LOC124417890	lncRNA	Dbxref=GeneID:124417890	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	57171684	57276213	.	+	.	gene-EPB41L2	Name=EPB41L2	protein_coding	Dbxref=CGNC:10465,GeneID:421703	2959.3	8.89731	9.7377	9.04707
NC_052534.1	Gnomon	gene	57280932	57285171	.	-	.	gene-SMLR1	Name=SMLR1	lncRNA	Dbxref=CGNC:54711,GeneID:768737	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	57293877	57335321	.	+	.	gene-LOC121110309	Name=LOC121110309	lncRNA	Dbxref=CGNC:90172,GeneID:121110309	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	57431931	57484589	.	-	.	gene-TMEM200A	Name=TMEM200A	protein_coding	Dbxref=CGNC:1626,GeneID:427076	1470	3.88785	1.33909	2.33262
NC_052534.1	Gnomon	gene	57516843	57551347	.	+	.	gene-SAMD3	Name=SAMD3	protein_coding	Dbxref=CGNC:66100,GeneID:100857189	1443	0	0	0
NC_052534.1	Gnomon	gene	57552584	57630634	.	-	.	gene-L3MBTL3	Name=L3MBTL3	protein_coding	Dbxref=CGNC:51530,GeneID:421705	2586	0.945804	0.799333	0.976354
NC_052534.1	BestRefSeq	gene	57654274	57665505	.	+	.	gene-TMEM244	Name=TMEM244	protein_coding	Dbxref=CGNC:15946,GeneID:769034	459	0	0	0
NC_052534.1	Gnomon	gene	57674806	57759091	.	+	.	gene-ARHGAP18	Name=ARHGAP18	protein_coding	Dbxref=CGNC:51531,GeneID:421706	1869	1.85443	1.95515	1.15921
NC_052534.1	Gnomon	gene	57691065	57698920	.	-	.	gene-LOC121110266	Name=LOC121110266	lncRNA	Dbxref=CGNC:90129,GeneID:121110266	NA	NA	NA	NA
NC_052534.1	BestRefSeq	gene	57711596	57711705	.	+	.	gene-MIR6697	Name=MIR6697	miRNA	Dbxref=CGNC:71957,GeneID:102466712,miRBase:MI0022518	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	57779932	58116457	.	-	.	gene-LAMA2	Name=LAMA2	protein_coding	Dbxref=CGNC:10472,GeneID:421709	9504	0.303548	0.41686	0.213128
NC_052534.1	BestRefSeq	gene	57913218	57913271	.	-	.	gene-MIR1660	Name=MIR1660	miRNA	Dbxref=CGNC:60629,GeneID:100315769,miRBase:MI0007394	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	58145436	58170423	.	+	.	gene-LOC100857259	Name=LOC100857259	protein_coding	Dbxref=CGNC:65746,GeneID:100857259	1461	0	0	0
NC_052534.1	Gnomon	gene	58223134	58614202	.	+	.	gene-PTPRK	Name=PTPRK	protein_coding	Dbxref=CGNC:10963,GeneID:421711	4338	8.97814	6.59846	7.78852
NC_052534.1	Gnomon	gene	58630133	58713450	.	+	.	gene-THEMIS	Name=THEMIS	protein_coding	Dbxref=CGNC:10993,GeneID:769224	2274	0	0	0
NC_052534.1	Gnomon	gene	58715804	58720119	.	+	.	gene-LOC124418346	Name=LOC124418346	lncRNA	Dbxref=GeneID:124418346	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	58719367	58731995	.	-	.	gene-C6orf58	Name=C6orf58	protein_coding	Dbxref=CGNC:51533,GeneID:421712	1116	0	0	0
NC_052534.1	Gnomon	gene	58751050	58780053	.	+	.	gene-SOGA3	Name=SOGA3	protein_coding	Dbxref=CGNC:10997,GeneID:421713	2790	0	0	0
NC_052534.1	Gnomon	gene	58787251	58801952	.	+	.	gene-KIAA0408	Name=KIAA0408	protein_coding	Dbxref=CGNC:51534,GeneID:101750381	2131.5	0	0	0.093191
NC_052534.1	BestRefSeq%2CGnomon	gene	58844600	58885806	.	+	.	gene-ECHDC1	Name=ECHDC1	protein_coding	Dbxref=CGNC:54924,GeneID:769021	634.212	16.7161	12.9316	4.80798
NC_052534.1	Gnomon	gene	58867847	58872126	.	+	.	gene-LOC124417832	Name=LOC124417832	lncRNA	Dbxref=GeneID:124417832	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	58886318	58896855	.	-	.	gene-RNF146	Name=RNF146	protein_coding	Dbxref=CGNC:23409,GeneID:425313	1059	8.3589	8.54378	11.752
NC_052534.1	BestRefSeq	gene	58919028	58978268	.	-	.	gene-RSPO3	Name=RSPO3	protein_coding	Dbxref=CGNC:11001,GeneID:421715	828	7.80611	5.97832	11.479
NC_052534.1	Gnomon	gene	58977013	58978141	.	+	.	gene-LOC112532128	Name=LOC112532128	protein_coding	Dbxref=CGNC:85522,GeneID:112532128	531	0	0	0
NC_052534.1	Gnomon	gene	59006188	59016792	.	+	.	gene-LOC121110308	Name=LOC121110308	lncRNA	Dbxref=CGNC:90171,GeneID:121110308	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	59092708	59097145	.	-	.	gene-LOC121113192	Name=LOC121113192	lncRNA	Dbxref=CGNC:93037,GeneID:121113192	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	59252684	59259732	.	-	.	gene-CENPW	Name=CENPW	protein_coding	Dbxref=CGNC:51535,GeneID:421716	231	12.3583	2.06164	2.1806
NC_052534.1	Gnomon	gene	59259820	59264630	.	+	.	gene-LOC101751476	Name=LOC101751476	lncRNA	Dbxref=CGNC:70897,GeneID:101751476	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	59262159	59264506	.	-	.	gene-LOC107056111	Name=LOC107056111	lncRNA	Dbxref=CGNC:79065,GeneID:107056111	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	59366711	59397951	.	-	.	gene-TRMT11	Name=TRMT11	protein_coding	Dbxref=CGNC:49123,GeneID:378793	1386	9.01801	9.00764	7.18001
NC_052534.1	Gnomon	gene	59398177	59404028	.	+	.	gene-LOC101751514	Name=LOC101751514	lncRNA	Dbxref=CGNC:70935,GeneID:101751514	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	59405755	59412559	.	-	.	gene-HINT3	Name=HINT3	protein_coding	Dbxref=CGNC:14047,GeneID:769579	504	11.8899	7.4246	12.2529
NC_052534.1	BestRefSeq%2CGnomon	gene	59414066	59499575	.	-	.	gene-NCOA7	Name=NCOA7	protein_coding	Dbxref=CGNC:51536,GeneID:421717	1091.82	10.8836	11.9714	12.2571
NC_052534.1	Gnomon	gene	59504985	59507538	.	+	.	gene-LOC101751651	Name=LOC101751651	lncRNA	Dbxref=CGNC:71070,GeneID:101751651	NA	NA	NA	NA
NC_052534.1	tRNAscan-SE	gene	59506758	59506829	.	+	.	gene-TRNAE-CUC-2	Name=TRNAE-CUC	tRNA	Dbxref=GeneID:112532261	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	59516669	59527603	.	-	.	gene-HEY2	Name=HEY2	protein_coding	Dbxref=CGNC:66409,GeneID:421718	1008	0.617669	0.205663	0.633039
NC_052534.1	Gnomon	gene	59527692	59535481	.	+	.	gene-LOC121110508	Name=LOC121110508	lncRNA	Dbxref=CGNC:90371,GeneID:121110508	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	59569499	59582039	.	+	.	gene-LOC101751689	Name=LOC101751689	lncRNA	Dbxref=CGNC:71108,GeneID:101751689	NA	NA	NA	NA
NC_052534.1	BestRefSeq	gene	59707517	59716715	.	+	.	gene-HDDC2	Name=HDDC2	protein_coding	Dbxref=CGNC:11010,GeneID:421719	591	13.1554	5.97398	9.43146
NC_052534.1	BestRefSeq%2CGnomon	gene	59718946	59771186	.	-	.	gene-TPD52L1	Name=TPD52L1	protein_coding	Dbxref=CGNC:49020,GeneID:374049	608	0	0	0
NC_052534.1	Gnomon	gene	59788029	59851026	.	-	.	gene-RNF217	Name=RNF217	protein_coding	Dbxref=CGNC:10230,GeneID:426209	1359	2.92657	1.90009	2.24701
NC_052534.1	BestRefSeq%2CGnomon	gene	59898236	60415797	.	-	.	gene-NKAIN2	Name=NKAIN2	protein_coding	Dbxref=CGNC:11012,GeneID:421720	597	0.393355	0.785946	0
NC_052534.1	Gnomon	gene	60472401	60680855	.	+	.	gene-TRDN	Name=TRDN	protein_coding	Dbxref=CGNC:11016,GeneID:421721	2421	0	0	0.079779
NC_052534.1	Gnomon	gene	60729657	60788077	.	-	.	gene-CLVS2	Name=CLVS2	protein_coding	Dbxref=CGNC:11020,GeneID:428616	984	0	0	0
NC_052534.1	Gnomon	gene	60787993	60788711	.	-	.	gene-LOC112532132	Name=LOC112532132	protein_coding	Dbxref=CGNC:85523,GeneID:112532132	681	0	0	0
NC_052534.1	Gnomon	gene	60847559	60861067	.	-	.	gene-SMPDL3A	Name=SMPDL3A	protein_coding	Dbxref=CGNC:57750,GeneID:776223	1422	2.5039	3.47363	4.55638
NC_052534.1	BestRefSeq	gene	60863627	60867040	.	-	.	gene-FABP7	Name=FABP7	protein_coding	Dbxref=CGNC:49717,GeneID:396246	399	42.7424	45.5116	96.4132
NC_052534.1	BestRefSeq%2CGnomon	gene	60878677	60933134	.	-	.	gene-PKIB	Name=PKIB	protein_coding	Dbxref=CGNC:55222,GeneID:769402	235.5	0	0	0
NC_052534.1	BestRefSeq	gene	60953014	60967501	.	+	.	gene-SERINC1	Name=SERINC1	protein_coding	Dbxref=CGNC:51537,GeneID:421722	1386	79.0149	84.6432	81.4711
NC_052534.1	BestRefSeq%2CGnomon	gene	60968629	60989995	.	-	.	gene-HSF2	Name=HSF2	protein_coding	Dbxref=CGNC:11036,GeneID:421724	1596	1.95867	3.46156	3.51326
NC_052534.1	Gnomon	gene	61057875	61114305	.	+	.	gene-LOC107053070	Name=LOC107053070	lncRNA	Dbxref=CGNC:76069,GeneID:107053070	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	61220346	61227297	.	+	.	gene-LOC107053075	Name=LOC107053075	lncRNA	Dbxref=CGNC:76074,GeneID:107053075	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	61237137	61311128	.	-	.	gene-LOC101752292	Name=LOC101752292	lncRNA	Dbxref=CGNC:71699,GeneID:101752292	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	61342909	61363112	.	-	.	gene-LOC107053071	Name=LOC107053071	lncRNA	Dbxref=CGNC:76070,GeneID:107053071	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	61376980	61381405	.	+	.	gene-LOC107053072	Name=LOC107053072	lncRNA	Dbxref=CGNC:76071,GeneID:107053072	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	61409929	61419060	.	-	.	gene-GJA1	Name=GJA1	protein_coding	Dbxref=CGNC:11038,GeneID:395278	1146	10.1167	13.1192	18.3623
NC_052534.1	Gnomon	gene	61419390	61422424	.	+	.	gene-LOC107053073	Name=LOC107053073	lncRNA	Dbxref=CGNC:76072,GeneID:107053073	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	61464871	61552756	.	+	.	gene-TBC1D32	Name=TBC1D32	protein_coding	Dbxref=CGNC:11041,GeneID:421725	3156	0.35387	0.47922	0.78943
NC_052534.1	Gnomon	gene	61582712	61585315	.	+	.	gene-LOC107051510	Name=LOC107051510	protein_coding	Dbxref=CGNC:74519,GeneID:107051510	1473	0	0	0
NC_052534.1	Gnomon	gene	61757205	61771792	.	-	.	gene-LOC101747581	Name=LOC101747581	lncRNA	Dbxref=CGNC:67079,GeneID:101747581	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	61942760	62099640	.	-	.	gene-LOC101747613	Name=LOC101747613	lncRNA	Dbxref=CGNC:67111,GeneID:101747613	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62095599	62098927	.	+	.	gene-LOC112532127	Name=LOC112532127	lncRNA	Dbxref=CGNC:85521,GeneID:112532127	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62134067	62278841	.	+	.	gene-MAN1A1	Name=MAN1A1	protein_coding	Dbxref=CGNC:11043,GeneID:421726	1450.06	50.2258	53.9408	53.2494
NC_052534.1	Gnomon	gene	62271583	62319169	.	-	.	gene-LOC121110283	Name=LOC121110283	lncRNA	Dbxref=CGNC:90146,GeneID:121110283	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62340637	62403872	.	+	.	gene-FAM184A	Name=FAM184A	protein_coding	Dbxref=CGNC:11046,GeneID:421727	3117	0.23901	0.2984	0.244281
NC_052534.1	Gnomon	gene	62394939	62408230	.	-	.	gene-LOC121110284	Name=LOC121110284	lncRNA	Dbxref=CGNC:90147,GeneID:121110284	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	62408055	62466954	.	+	.	gene-MCM9	Name=MCM9	protein_coding	Dbxref=CGNC:66117,GeneID:100857742	3510	0.63327	0.579791	0.593223
NC_052534.1	Gnomon	gene	62430254	62436399	.	-	.	gene-LOC121113176	Name=LOC121113176	protein_coding	Dbxref=CGNC:93022,GeneID:121113176	591	0	0	0
NC_052534.1	BestRefSeq%2CGnomon	gene	62441791	62451969	.	-	.	gene-ASF1A	Name=ASF1A	protein_coding	Dbxref=CGNC:54362,GeneID:723780	615	7.56553	6.80232	8.16814
NC_052534.1	Gnomon	gene	62503447	62649797	.	+	.	gene-CEP85L	Name=CEP85L	protein_coding	Dbxref=CGNC:65282,GeneID:100857774	2073	0.368477	1.57051	0.565252
NC_052534.1	BestRefSeq	gene	62579083	62593039	.	-	.	gene-PLN	Name=PLN	protein_coding	Dbxref=CGNC:11054,GeneID:396378	159	0	0	0
NC_052534.1	BestRefSeq	gene	62616557	62616622	.	+	.	gene-MIR199B	Name=MIR199B	miRNA	Dbxref=CGNC:60836,GeneID:100315977,miRBase:MI0007426	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62659450	62661899	.	-	.	gene-LOC121110348	Name=LOC121110348	protein_coding	Dbxref=CGNC:90211,GeneID:121110348	897	0	0	0
NC_052534.1	Gnomon	gene	62664209	62666230	.	-	.	gene-LOC121110347	Name=LOC121110347	protein_coding	Dbxref=CGNC:90210,GeneID:121110347	897	0	0	0
NC_052534.1	Gnomon	gene	62668973	62670848	.	-	.	gene-LOC121110404	Name=LOC121110404	protein_coding	Dbxref=CGNC:90267,GeneID:121110404	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62678506	62680159	.	-	.	gene-LOC121110326	Name=LOC121110326	protein_coding	Dbxref=CGNC:90189,GeneID:121110326	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62683270	62685013	.	-	.	gene-LOC121113148	Name=LOC121113148	protein_coding	Dbxref=CGNC:92994,GeneID:121113148	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62692814	62694556	.	-	.	gene-LOC121113149	Name=LOC121113149	protein_coding	Dbxref=CGNC:92995,GeneID:121113149	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62697581	62699452	.	-	.	gene-LOC121113150	Name=LOC121113150	protein_coding	Dbxref=CGNC:92996,GeneID:121113150	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62702346	62704217	.	-	.	gene-LOC121110302	Name=LOC121110302	protein_coding	Dbxref=CGNC:90165,GeneID:121110302	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62727112	62743425	.	-	.	gene-LOC121113151	Name=LOC121113151	lncRNA	Dbxref=CGNC:92997,GeneID:121113151	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	62751672	62987084	.	-	.	gene-SLC35F1	Name=SLC35F1	protein_coding	Dbxref=CGNC:66645,GeneID:770279	1207.5	0	0.174153	0
NC_052534.1	Gnomon	gene	62809352	62815867	.	+	.	gene-LOC121113152	Name=LOC121113152	lncRNA	Dbxref=CGNC:92998,GeneID:121113152	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63018692	63034006	.	-	.	gene-LOC121110186	Name=LOC121110186	lncRNA	Dbxref=CGNC:90049,GeneID:121110186	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63022261	63029314	.	+	.	gene-LOC121110185	Name=LOC121110185	lncRNA	Dbxref=CGNC:90048,GeneID:121110185	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63036948	63051843	.	-	.	gene-NUS1	Name=NUS1	protein_coding	Dbxref=CGNC:11057,GeneID:421733	840	28.1277	29.1357	31.7404
NC_052534.1	Gnomon	gene	63051949	63054904	.	+	.	gene-LOC112532210	Name=LOC112532210	lncRNA	Dbxref=CGNC:85555,GeneID:112532210	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63072985	63101180	.	+	.	gene-GOPC	Name=GOPC	protein_coding	Dbxref=CGNC:11060,GeneID:770364	1515	5.05666	4.14424	6.76733
NC_052534.1	Gnomon	gene	63110019	63158110	.	-	.	gene-DCBLD1	Name=DCBLD1	protein_coding	Dbxref=CGNC:11064,GeneID:421734	2397	2.91789	1.96919	1.29009
NC_052534.1	Gnomon	gene	63112924	63136302	.	+	.	gene-LOC124417811	Name=LOC124417811	lncRNA	Dbxref=GeneID:124417811	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	63161245	63244863	.	+	.	gene-ROS1	Name=ROS1	protein_coding	Dbxref=CGNC:11070,GeneID:396192	6936	0	0.026114	0
NC_052534.1	BestRefSeq%2CGnomon	gene	63254048	63261636	.	-	.	gene-VGLL2	Name=VGLL2	protein_coding	Dbxref=CGNC:11074,GeneID:421735	1005.75	0	0	0
NC_052534.1	Gnomon	gene	63261786	63276734	.	+	.	gene-LOC101749120	Name=LOC101749120	lncRNA	Dbxref=CGNC:68594,GeneID:101749120	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63291602	63294059	.	+	.	gene-LOC121113153	Name=LOC121113153	protein_coding	Dbxref=CGNC:92999,GeneID:121113153	897	0	0	0
NC_052534.1	Gnomon	gene	63296354	63298811	.	+	.	gene-LOC121113154	Name=LOC121113154	protein_coding	Dbxref=CGNC:93000,GeneID:121113154	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63301105	63303563	.	+	.	gene-LOC121113155	Name=LOC121113155	protein_coding	Dbxref=CGNC:93001,GeneID:121113155	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63311313	63313067	.	+	.	gene-LOC121110405	Name=LOC121110405	protein_coding	Dbxref=CGNC:90268,GeneID:121110405	897	0	0	0
NC_052534.1	Gnomon	gene	63315361	63317818	.	+	.	gene-LOC121110187	Name=LOC121110187	protein_coding	Dbxref=CGNC:90050,GeneID:121110187	897	0	0	0
NC_052534.1	Gnomon	gene	63386819	63420627	.	-	.	gene-RFX6	Name=RFX6	protein_coding	Dbxref=CGNC:11075,GeneID:421737	2688	0	0	0
NC_052534.1	Gnomon	gene	63438628	63451060	.	+	.	gene-GPRC6A	Name=GPRC6A	protein_coding	Dbxref=CGNC:11081,GeneID:428620	2784	0	0	0
NC_052534.1	Gnomon	gene	63452963	63459884	.	+	.	gene-FAM162B	Name=FAM162B	protein_coding	Dbxref=CGNC:62699,GeneID:100857953	444	0	0	0
NC_052534.1	Gnomon	gene	63456675	63476747	.	-	.	gene-KPNA5	Name=KPNA5	protein_coding	Dbxref=CGNC:11089,GeneID:421738	1620	1.08381	2.52595	1.47865
NC_052534.1	Gnomon	gene	63476823	63483607	.	+	.	gene-ZUFSP	Name=ZUFSP	protein_coding	Dbxref=CGNC:11092,GeneID:421739	1458	1.21761	2.97293	3.73871
NC_052534.1	BestRefSeq	gene	63491178	63500492	.	+	.	gene-LOC421740	Name=LOC421740	protein_coding	Dbxref=CGNC:51540,GeneID:421740	897	28.1206	30.6868	22.5364
NC_052534.1	BestRefSeq	gene	63501408	63512418	.	-	.	gene-RWDD1	Name=RWDD1	protein_coding	Dbxref=CGNC:11104,GeneID:421741	723	4.61289	3.99373	8.52626
NC_052534.1	Gnomon	gene	63512549	63541418	.	+	.	gene-TRAPPC3L	Name=TRAPPC3L	protein_coding	Dbxref=CGNC:66410,GeneID:421743	474	0	0	0
NC_052534.1	Gnomon	gene	63514672	63517257	.	-	.	gene-FAM26D	Name=FAM26D	protein_coding	Dbxref=CGNC:11106,GeneID:421742	945	0	0	0
NC_052534.1	BestRefSeq	gene	63531142	63539040	.	-	.	gene-FAM26E	Name=FAM26E	protein_coding	Dbxref=CGNC:11112,GeneID:769904	930	0	0	0
NC_052534.1	Gnomon	gene	63545605	63549195	.	-	.	gene-FAM26F	Name=FAM26F	protein_coding	Dbxref=CGNC:11113,GeneID:421744	978	0	0.213077	0
NC_052534.1	Gnomon	gene	63558390	63595003	.	-	.	gene-DSE	Name=DSE	protein_coding	Dbxref=CGNC:11114,GeneID:421745	2919.41	4.60864	6.09619	5.9365
NC_052534.1	Gnomon	gene	63606930	63726994	.	-	.	gene-NT5DC1	Name=NT5DC1	protein_coding	Dbxref=CGNC:11115,GeneID:421746	1365	1.7473	1.59985	1.63967
NC_052534.1	Gnomon	gene	63621623	63632890	.	+	.	gene-LOC121110189	Name=LOC121110189	lncRNA	Dbxref=CGNC:90052,GeneID:121110189	NA	NA	NA	NA
NC_052534.1	BestRefSeq%2CGnomon	gene	63657274	63709540	.	+	.	gene-COL10A1	Name=COL10A1	protein_coding	Dbxref=CGNC:64139,GeneID:100858979	2025	1.03919	0.37744	0.483096
NC_052534.1	Gnomon	gene	63726799	63732822	.	+	.	gene-LOC124417812	Name=LOC124417812	protein_coding	Dbxref=GeneID:124417812	366	0	0	0
NC_052534.1	Gnomon	gene	63742019	63789287	.	+	.	gene-FRK	Name=FRK	protein_coding	Dbxref=CGNC:11129,GeneID:421747	1602	0.853386	0.730621	1.37222
NC_052534.1	Gnomon	gene	63814540	63815507	.	-	.	gene-LOC101750497	Name=LOC101750497	lncRNA	Dbxref=CGNC:69947,GeneID:101750497	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	63878939	63912360	.	-	.	gene-LOC121110190	Name=LOC121110190	lncRNA	Dbxref=CGNC:90053,GeneID:121110190	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	64015949	64018417	.	-	.	gene-LOC121110238	Name=LOC121110238	protein_coding	Dbxref=CGNC:90101,GeneID:121110238	1695	0	0	0
NC_052534.1	Gnomon	gene	64077192	64091373	.	+	.	gene-LOC121113156	Name=LOC121113156	lncRNA	Dbxref=CGNC:93002,GeneID:121113156	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	64112150	64149645	.	+	.	gene-LOC112532086	Name=LOC112532086	lncRNA	Dbxref=CGNC:85502,GeneID:112532086	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	64236608	64247314	.	-	.	gene-LOC121110191	Name=LOC121110191	lncRNA	Dbxref=CGNC:90054,GeneID:121110191	NA	NA	NA	NA
NC_052534.1	Gnomon	gene	64268990	64466341	.	+	.	gene-HS3ST5	Name=HS3ST5	protein_coding	Dbxref=CGNC:66564,GeneID:428621	1038	0	0	0
NC_052534.1	Gnomon	gene	64386855	64409533	.	-	.	gene-LOC121110192	Name=LOC121110192	lncRNA	Dbxref=CGNC:90055,GeneID:121110192	NA	NA	NA	NA
