Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	rna_10	rna_16	rna_KI01
chr1	EviAnn	gene	381517490	381517564	.	-	.	LOC_00002871	geneID=LOC_00002871	protein_coding	function_unknown	75	0	0	0
chr1	EviAnn	gene	381556557	381609651	.	-	.	LOC_00002872	geneID=LOC_00002872	protein_coding	CCDC167:_Coiled-coil_domain-containing_protein_167_(Homo_sapiens)	2114.89	853.787	1726.48	1315.51
chr1	EviAnn	gene	381961746	382347789	.	-	.	LOC_00002873	geneID=LOC_00002873	protein_coding	MDGA1:_MAM_domain-containing_glycosylphosphatidylinositol_anchor_protein_1_(Gallus_gallus)	2597.5	0	0	0
chr1	EviAnn	gene	382222666	382222728	.	+	.	LOC_00002874	geneID=LOC_00002874	protein_coding	function_unknown	63	0	0	0
chr1	EviAnn	gene	382779092	382991522	.	+	.	LOC_00002875	geneID=LOC_00002875	protein_coding	ZFAND3:_AN1-type_zinc_finger_protein_3_(Homo_sapiens)	12868.1	1.2949	0.419261	0.617281
chr1	EviAnn	gene	382808977	382846838	.	-	.	LOC_00002876	geneID=LOC_00002876	protein_coding	function_unknown	237	123.112	55.4462	57.6814
chr1	EviAnn	gene	382905052	382988422	.	+	.	LOC_00002877	geneID=LOC_00002877	protein_coding	tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)	11603	1.23103	0.735435	1.42332
chr1	EviAnn	gene	383105394	383373704	.	-	.	LOC_00002878	geneID=LOC_00002878	protein_coding	BTBD9:_BTB/POZ_domain-containing_protein_9_(Homo_sapiens)	16420	8.58679	6.55535	9.18037
chr1	EviAnn	gene	383108963	383109016	.	+	.	LOC_00002879	geneID=LOC_00002879	protein_coding	function_unknown	54	0	0	0
chr1	EviAnn	gene	383142327	383148811	.	-	.	XLOC_002984U_lncRNA	geneID=XLOC_002984U_lncRNA	lncRNA	function_unknown	1476	109.796	344.592	237.235
chr1	EviAnn	gene	383269608	383344146	.	+	.	LOC_00002880	geneID=LOC_00002880	protein_coding	function_unknown	19538	232.374	199.51	183.233
chr1	EviAnn	gene	383295634	383345577	.	+	.	LOC_00002881	geneID=LOC_00002881	processed_pseudogene	pseudo=true	NA	NA	NA	NA
chr1	EviAnn	gene	383302102	383344156	.	-	.	LOC_00002882	geneID=LOC_00002882	protein_coding	CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)	38791	4.32948	4.76443	5.83993
chr1	EviAnn	gene	383381077	383401474	.	-	.	LOC_00002883	geneID=LOC_00002883	protein_coding	GLO1:_Lactoylglutathione_lyase_(Macaca_fascicularis)	8267	1.70734	1.70474	1.31063
chr1	EviAnn	gene	383400804	383400935	.	-	.	LOC_00002884	geneID=LOC_00002884	protein_coding	function_unknown	132	0	0	0
chr1	EviAnn	gene	383415221	383604840	.	+	.	LOC_00002885	geneID=LOC_00002885	protein_coding	DNAH8:_Dynein_axonemal_heavy_chain_8_(Homo_sapiens)	13555.5	0	0	0
chr1	EviAnn	gene	383632465	383798641	.	+	.	LOC_00002886	geneID=LOC_00002886	protein_coding	Glp1r:_Glucagon-like_peptide_1_receptor_(Mus_musculus)	783	20.2983	7.74068	4.02482
chr1	EviAnn	gene	383799627	383816125	.	-	.	LOC_00002888	geneID=LOC_00002888	protein_coding	SAYSD1:_SAYSvFN_domain-containing_protein_1_(Homo_sapiens)	4541.5	0	5.03745	0
chr1	EviAnn	gene	383804073	383816125	.	-	.	LOC_00002887	geneID=LOC_00002887	protein_coding	function_unknown	2490	0	0	0
chr1	EviAnn	gene	383943651	383998186	.	-	.	LOC_00002889	geneID=LOC_00002889	protein_coding	KCNK5:_Potassium_channel_subfamily_K_member_5_(Homo_sapiens)	3295	0.64625	2.26076	1.57689
chr1	EviAnn	gene	384162315	384213317	.	-	.	LOC_00002890	geneID=LOC_00002890	protein_coding	KCNK17:_Potassium_channel_subfamily_K_member_17_(Homo_sapiens)	1962	0	0	0
chr1	EviAnn	gene	384225424	384240164	.	-	.	LOC_00002891	geneID=LOC_00002891	protein_coding	Kcnk16:_Potassium_channel,_subfamily_K,_member_16_(Mus_musculus)	874.5	0	0	0
chr1	EviAnn	gene	384261624	384532375	.	-	.	LOC_00002892	geneID=LOC_00002892	protein_coding	KIF6:_Kinesin-like_protein_KIF6_(Homo_sapiens)	2586	0	0	0
chr1	EviAnn	gene	384534084	384541659	.	+	.	LOC_00002893	geneID=LOC_00002893	protein_coding	function_unknown	1516	5.52402	7.99192	4.50986
chr1	EviAnn	gene	384691904	384863729	.	+	.	LOC_00002894	geneID=LOC_00002894	protein_coding	Daam2:_Disheveled-associated_activator_of_morphogenesis_2_(Mus_musculus)	3237	0	0	0
chr1	EviAnn	gene	384831783	384837418	.	+	.	XLOC_001393U_lncRNA	geneID=XLOC_001393U_lncRNA	lncRNA	function_unknown	342	144.547	179.012	188.071
chr1	EviAnn	gene	384884456	384938445	.	-	.	LOC_00002895	geneID=LOC_00002895	protein_coding	MOCS1:_Molybdenum_cofactor_biosynthesis_protein_1_(Homo_sapiens)	7004.42	1.76774	2.22551	1.51695
chr1	EviAnn	gene	384938482	385020846	.	+	.	LOC_00002897	geneID=LOC_00002897	protein_coding	function_unknown	1682	0	0	0
chr1	EviAnn	gene	384997411	384997503	.	-	.	LOC_00002896	geneID=LOC_00002896	protein_coding	function_unknown	93	0	0	0
chr1	EviAnn	gene	385800014	385939277	.	-	.	LOC_00002898	geneID=LOC_00002898	protein_coding	Lrfn2:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_2_(Mus_musculus)	1642.67	0	0	0
chr1	EviAnn	gene	387429320	387458600	.	-	.	LOC_00002899	geneID=LOC_00002899	protein_coding	Supt7l:_STAGA_complex_65_subunit_gamma_(Mus_musculus)	2920.85	345.569	234.965	376.402
chr1	EviAnn	gene	387438841	387454382	.	-	.	LOC_00002900	geneID=LOC_00002900	protein_coding	function_unknown	7720	1.82092	1.49363	0.747794
chr1	EviAnn	gene	387457997	387517165	.	+	.	LOC_00002901	geneID=LOC_00002901	protein_coding	SLC4A1AP:_Kanadaptin_(Homo_sapiens)	3682.79	16.9288	16.5482	22.6639
chr1	EviAnn	gene	387558956	387635161	.	-	.	LOC_00002902	geneID=LOC_00002902	protein_coding	function_unknown	5038	9.51967	7.35008	2.92652
chr1	EviAnn	gene	387720618	387731330	.	+	.	XLOC_001398U_lncRNA	geneID=XLOC_001398U_lncRNA	lncRNA	function_unknown	950	2.64042	3.02738	0
chr1	EviAnn	gene	387739187	387753108	.	+	.	LOC_00002903	geneID=LOC_00002903	protein_coding	MRPL33:_Large_ribosomal_subunit_protein_bL33m_(Homo_sapiens)	5277	20.5115	23.6736	14.2543
chr1	EviAnn	gene	387749013	387832738	.	-	.	LOC_00002904	geneID=LOC_00002904	protein_coding	RBKS:_Ribokinase_(Homo_sapiens)	1071	38.7235	54.9054	32.6683
chr1	EviAnn	gene	387832762	388041466	.	+	.	LOC_00002905	geneID=LOC_00002905	protein_coding	BABAM2:_BRISC_and_BRCA1-A_complex_member_2_(Gallus_gallus)	12413.6	6.98674	9.89376	10.0809
chr1	EviAnn	gene	388119837	388150701	.	+	.	LOC_00002906	geneID=LOC_00002906	protein_coding	FOSL2:_Fos-related_antigen_2_(Gallus_gallus)	8870.08	4.16103	1.60828	1.40696
chr1	EviAnn	gene	388195912	388369053	.	+	.	LOC_00002907	geneID=LOC_00002907	protein_coding	PLB1:_Phospholipase_B1,_membrane-associated_(Monodelphis_domestica)	4082.25	0	1.0785	0
chr1	EviAnn	gene	388250703	388250777	.	+	.	LOC_00002908	geneID=LOC_00002908	protein_coding	function_unknown	75	0	0	0
chr1	EviAnn	gene	388457369	388511150	.	+	.	LOC_00002909	geneID=LOC_00002909	protein_coding	Ppp1cb:_Serine/threonine-protein_phosphatase_PP1-beta_catalytic_subunit_(Rattus_norvegicus)	14275.2	15.0532	13.9951	7.83801
chr1	EviAnn	gene	388515852	388528009	.	+	.	LOC_00002910	geneID=LOC_00002910	protein_coding	SPDYA:_Speedy_protein_A_(Homo_sapiens)	1805.67	115.506	86.8433	145.199
chr1	EviAnn	gene	388523136	388546800	.	-	.	LOC_00002911	geneID=LOC_00002911	protein_coding	TRMT61B:_tRNA_(adenine(58)-N(1))-methyltransferase,_mitochondrial_(Homo_sapiens)	2062.64	27.8607	22.8632	17.8903
chr1	EviAnn	gene	388536360	388540182	.	-	.	XLOC_003000U_lncRNA	geneID=XLOC_003000U_lncRNA	lncRNA	function_unknown	3030	1.41311	2.44419	4.2499
chr1	EviAnn	gene	388546148	388593192	.	+	.	LOC_00002912	geneID=LOC_00002912	protein_coding	WDR43:_WD_repeat-containing_protein_43_(Homo_sapiens)	20717	0.293255	1.01628	0.162099
chr1	EviAnn	gene	388608808	388729877	.	+	.	LOC_00002913	geneID=LOC_00002913	protein_coding	Togaram2:_TOG_array_regulator_of_axonemal_microtubules_protein_2_(Mus_musculus)	3560	0	0	0
chr1	EviAnn	gene	388761702	388777318	.	-	.	LOC_00002914	geneID=LOC_00002914	protein_coding	PCARE:_Photoreceptor_cilium_actin_regulator_(Homo_sapiens)	3845	0	0	0
chr1	EviAnn	gene	388794974	388840551	.	+	.	LOC_00002915	geneID=LOC_00002915	protein_coding	CLIP4:_CAP-Gly_domain-containing_linker_protein_4_(Homo_sapiens)	2344	0	1.07351	0
chr1	EviAnn	gene	388848956	389457653	.	-	.	LOC_00002916	geneID=LOC_00002916	protein_coding	ALK:_ALK_tyrosine_kinase_receptor_(Canis_lupus_familiaris)	2358	0	0	0
chr1	EviAnn	gene	389872121	389894109	.	-	.	LOC_00002917	geneID=LOC_00002917	protein_coding	ANKRD9:_Ankyrin_repeat_domain-containing_protein_9_(Homo_sapiens)	21581	2.5784	2.34306	1.29885
chr1	EviAnn	gene	389904634	389924287	.	-	.	LOC_00002920	geneID=LOC_00002920	protein_coding	function_unknown	15717	0	0	0
chr1	EviAnn	gene	389904634	389924300	.	-	.	LOC_00002919	geneID=LOC_00002919	protein_coding	YPEL5:_Protein_yippee-like_5_(Pongo_abelii)	14014	1.4515	1.13157	1.57523
chr1	EviAnn	gene	389904726	389924300	.	-	.	LOC_00002918	geneID=LOC_00002918	protein_coding	function_unknown	10065	0	0	0
chr1	EviAnn	gene	389993299	390017903	.	+	.	LOC_00002921	geneID=LOC_00002921	protein_coding	LBH:_Protein_LBH_(Bos_taurus)	2667.5	0	0	0
chr1	EviAnn	gene	390137082	390137234	.	-	.	LOC_00002922	geneID=LOC_00002922	protein_coding	function_unknown	153	0	0	0
chr1	EviAnn	gene	390242846	390397616	.	+	.	LOC_00002923	geneID=LOC_00002923	protein_coding	LCLAT1:_Lysocardiolipin_acyltransferase_1_(Gallus_gallus)	11832.9	27.3527	22.2509	24.7876
chr1	EviAnn	gene	390687785	391097202	.	-	.	LOC_00002924	geneID=LOC_00002924	protein_coding	GALNT14:_Polypeptide_N-acetylgalactosaminyltransferase_14_(Homo_sapiens)	1826.33	0	0	0
chr1	EviAnn	gene	391154289	391154354	.	-	.	LOC_00002925	geneID=LOC_00002925	protein_coding	function_unknown	66	0	0	0
chr1	EviAnn	gene	391255119	391277661	.	-	.	LOC_00002927	geneID=LOC_00002927	protein_coding	function_unknown	1692	278.488	224.437	221.421
chr1	EviAnn	gene	391261298	391297308	.	+	.	LOC_00002926	geneID=LOC_00002926	protein_coding	EHD3:_EH_domain-containing_protein_3_(Homo_sapiens)	1952	0	0	0
chr1	EviAnn	gene	391305585	391310654	.	+	.	LOC_00002928	geneID=LOC_00002928	protein_coding	CHST9:_Carbohydrate_sulfotransferase_9_(Homo_sapiens)	2529	1.69017	6.49222	13.8979
chr1	EviAnn	gene	391311421	391392978	.	-	.	LOC_00002929	geneID=LOC_00002929	protein_coding	XDH:_Xanthine_dehydrogenase/oxidase_(Gallus_gallus)	3301.75	0	0	0
chr1	EviAnn	gene	391496501	391767619	.	+	.	LOC_00002930	geneID=LOC_00002930	protein_coding	Cdc42bpa:_Serine/threonine-protein_kinase_MRCK_alpha_(Rattus_norvegicus)	5034.5	0	0	0
chr1	EviAnn	gene	391774508	391860690	.	-	.	LOC_00002931	geneID=LOC_00002931	protein_coding	COQ8A:_Atypical_kinase_COQ8A,_mitochondrial_(Bos_taurus)	5415	1.53614	0	0.462614
chr1	EviAnn	gene	391898982	391946775	.	-	.	LOC_00002932	geneID=LOC_00002932	protein_coding	PSEN2:_Presenilin-2_(Gallus_gallus)	4830	1.29736	0	1.04167
chr1	EviAnn	gene	391990449	392106929	.	+	.	LOC_00002933	geneID=LOC_00002933	protein_coding	ITPKB:_Inositol-trisphosphate_3-kinase_B_(Homo_sapiens)	6408.5	0	1.28491	0
chr1	EviAnn	gene	392147436	392234936	.	-	.	LOC_00002934	geneID=LOC_00002934	protein_coding	si:dkeyp-59a8.4:_Protein_stum_homolog_(Danio_rerio)	1260.67	0	1.6987	0.886065
chr1	EviAnn	gene	392388874	392467148	.	+	.	LOC_00002935	geneID=LOC_00002935	protein_coding	PARP1:_Poly_[ADP-ribose]_polymerase_1_(Gallus_gallus)	9676	7.93909	7.16092	12.437
chr1	EviAnn	gene	392473353	392512109	.	+	.	LOC_00002936	geneID=LOC_00002936	protein_coding	LIN9:_Protein_lin-9_homolog_(Homo_sapiens)	2496.29	69.6055	31.3161	31.7926
chr1	EviAnn	gene	392474185	392495778	.	+	.	LOC_00002937	geneID=LOC_00002937	protein_coding	function_unknown	3587	2.95349	5.45095	1.4219
chr1	EviAnn	gene	392515706	392527011	.	+	.	XLOC_001412U_lncRNA	geneID=XLOC_001412U_lncRNA	lncRNA	function_unknown	1924	10.4152	5.33065	9.72678
chr1	EviAnn	gene	392558612	392561331	.	-	.	XLOC_003016U_lncRNA	geneID=XLOC_003016U_lncRNA	lncRNA	function_unknown	1051	11.6539	8.02461	11.14
chr1	EviAnn	gene	392565619	392565687	.	+	.	LOC_00002938	geneID=LOC_00002938	protein_coding	function_unknown	69	0	0	0
chr1	EviAnn	gene	392569815	392571877	.	+	.	XLOC_001414U_lncRNA	geneID=XLOC_001414U_lncRNA	lncRNA	function_unknown	767	0	0	0
chr1	EviAnn	gene	392590117	392598130	.	+	.	XLOC_001415U_lncRNA	geneID=XLOC_001415U_lncRNA	lncRNA	function_unknown	341	350.235	258.209	655.818
chr1	EviAnn	gene	392605106	392638381	.	+	.	LOC_00002939	geneID=LOC_00002939	protein_coding	ACBD3:_Golgi_resident_protein_GCP60_(Homo_sapiens)	19049	2.23434	0.491615	0.769903
chr1	EviAnn	gene	392671414	392678039	.	-	.	LOC_00002940	geneID=LOC_00002940	protein_coding	TGas113e22.1:_Histone_H3.3_(Xenopus_tropicalis)	1141	4.22034	0	0
chr1	EviAnn	gene	392694478	392694540	.	+	.	LOC_00002941	geneID=LOC_00002941	protein_coding	function_unknown	63	0	0	0
chr1	EviAnn	gene	392713849	392727118	.	+	.	LOC_00002942	geneID=LOC_00002942	protein_coding	SDE2:_Splicing_regulator_SDE2_(Homo_sapiens)	5147	4.8164	3.23057	12.5514
chr1	EviAnn	gene	392745569	392752324	.	-	.	LOC_00002943	geneID=LOC_00002943	protein_coding	LEFTY2:_Left-right_determination_factor_2_(Homo_sapiens)	1244	0	0	0
chr1	EviAnn	gene	392772180	392820652	.	+	.	LOC_00002944	geneID=LOC_00002944	protein_coding	TMEM63A:_Mechanosensitive_cation_channel_TMEM63A_(Capra_hircus)	4531.13	1.84891	1.14906	3.6099
chr1	EviAnn	gene	392907182	392916749	.	-	.	LOC_00002946	geneID=LOC_00002946	protein_coding	SRP9:_Signal_recognition_particle_9_kDa_protein_(Macaca_fascicularis)	3059.25	0	0.742319	0
chr1	EviAnn	gene	392908219	392916662	.	-	.	LOC_00002945	geneID=LOC_00002945	protein_coding	function_unknown	5248.5	0	0	0
chr1	EviAnn	gene	393028586	393153365	.	+	.	LOC_00002947	geneID=LOC_00002947	protein_coding	ENAH:_Protein_enabled_homolog_(Homo_sapiens)	4131.09	2.54573	0.772648	0
chr1	EviAnn	gene	393210285	393242801	.	+	.	LOC_00002948	geneID=LOC_00002948	protein_coding	LBR:_Delta(14)-sterol_reductase_LBR_(Gallus_gallus)	4451	0.941839	1.70791	0.581992
chr1	EviAnn	gene	393226185	393242799	.	+	.	LOC_00002949	geneID=LOC_00002949	protein_coding	function_unknown	5847	18.7039	8.88726	12.6968
chr1	EviAnn	gene	393246060	393251145	.	-	.	LOC_00002950	geneID=LOC_00002950	protein_coding	DNAH14:_Dynein_axonemal_heavy_chain_14_(Homo_sapiens)	537	0	19.6417	6.79262
chr1	EviAnn	gene	393602333	393757286	.	-	.	LOC_00002951	geneID=LOC_00002951	protein_coding	Cnih3:_Protein_cornichon_homolog_3_(Mus_musculus)	660	409.464	423.495	444.96
chr1	EviAnn	gene	393756729	393798375	.	+	.	LOC_00002952	geneID=LOC_00002952	protein_coding	Wdr26:_WD_repeat-containing_protein_26_(Mus_musculus)	6506.04	67.6689	64.2551	75.0402
chr1	EviAnn	gene	393804421	393818104	.	-	.	LOC_00002953	geneID=LOC_00002953	protein_coding	CNIH4:_Protein_cornichon_homolog_4_(Pongo_abelii)	2295.2	32.405	42.6018	16.7462
chr1	EviAnn	gene	393817907	393897941	.	+	.	LOC_00002954	geneID=LOC_00002954	protein_coding	NVL:_Nuclear_valosin-containing_protein-like_(Homo_sapiens)	9285.1	22.2826	17.1172	10.0497
chr1	EviAnn	gene	393896807	393909476	.	-	.	LOC_00002955	geneID=LOC_00002955	protein_coding	DEGS1:_Sphingolipid_delta(4)-desaturase_DES1_(Gallus_gallus)	8627.22	56.6018	46.6585	46.8639
chr1	EviAnn	gene	393933144	393968721	.	-	.	LOC_00002956	geneID=LOC_00002956	protein_coding	FBXO28:_F-box_only_protein_28_(Homo_sapiens)	8939	10.7535	9.42422	5.63246
chr1	EviAnn	gene	393935702	393968715	.	-	.	LOC_00002957	geneID=LOC_00002957	protein_coding	function_unknown	30199	2.98131	2.12936	1.03955
chr1	EviAnn	gene	394000857	394079134	.	+	.	LOC_00002958	geneID=LOC_00002958	protein_coding	TP53BP2:_Apoptosis-stimulating_of_p53_protein_2_(Homo_sapiens)	6567	18.2501	18.1322	1.85167
chr1	EviAnn	gene	394078003	394144084	.	-	.	LOC_00002959	geneID=LOC_00002959	protein_coding	CAPN2:_Calpain-2_catalytic_subunit_(Gallus_gallus)	3349	16.5153	13.187	25.2243
chr1	EviAnn	gene	394143608	394239063	.	+	.	LOC_00002960	geneID=LOC_00002960	protein_coding	CAPN8:_Calpain-8_(Homo_sapiens)	2636	0.82037	1.89132	0
chr1	EviAnn	gene	394334857	394486840	.	+	.	LOC_00002961	geneID=LOC_00002961	protein_coding	SUSD4:_Sushi_domain-containing_protein_4_(Pongo_abelii)	1584.67	0	0	1.5914
chr1	EviAnn	gene	394509117	394533352	.	+	.	LOC_00002962	geneID=LOC_00002962	protein_coding	TLR5:_Toll-like_receptor_5_(Homo_sapiens)	4349	0.964938	0	0
chr1	EviAnn	gene	394597218	394711945	.	-	.	LOC_00002963	geneID=LOC_00002963	protein_coding	DISP1:_Protein_dispatched_homolog_1_(Homo_sapiens)	7151.14	10.9893	3.19902	7.06712
chr1	EviAnn	gene	394715719	394719098	.	+	.	XLOC_001429U_lncRNA	geneID=XLOC_001429U_lncRNA	lncRNA	function_unknown	1935	0	0	0
chr1	EviAnn	gene	394726530	394737630	.	-	.	LOC_00002964	geneID=LOC_00002964	protein_coding	FAM177B:_Protein_FAM177B_(Homo_sapiens)	4018	2.62094	1.81431	0
chr1	EviAnn	gene	394743338	394772610	.	-	.	LOC_00002965	geneID=LOC_00002965	protein_coding	BROX:_BRO1_domain-containing_protein_BROX_(Homo_sapiens)	7677	22.7806	13.3929	11.4764
chr1	EviAnn	gene	394772662	394818268	.	+	.	LOC_00002966	geneID=LOC_00002966	protein_coding	AIDA:_Axin_interactor,_dorsalization-associated_protein_(Macaca_fascicularis)	2682.23	139.794	166.044	280.654
chr1	EviAnn	gene	394816354	394870277	.	-	.	LOC_00002967	geneID=LOC_00002967	protein_coding	MIA3:_Transport_and_Golgi_organization_protein_1_homolog_(Homo_sapiens)	5336.82	115.401	112.234	92.5451
chr1	EviAnn	gene	394890484	394919632	.	+	.	LOC_00002968	geneID=LOC_00002968	protein_coding	TAF1A:_TATA_box-binding_protein-associated_factor_RNA_polymerase_I_subunit_A_(Homo_sapiens)	5747.32	25.3057	13.0708	12.8479
chr1	EviAnn	gene	394926000	394963157	.	+	.	LOC_00002969	geneID=LOC_00002969	protein_coding	HHIPL2:_HHIP-like_protein_2_(Homo_sapiens)	2340	0	0	0
chr1	EviAnn	gene	395290641	395356743	.	+	.	LOC_00002970	geneID=LOC_00002970	protein_coding	DUSP10:_Dual_specificity_protein_phosphatase_10_(Bos_taurus)	1991	0	0	0
chr1	EviAnn	gene	395520921	395521070	.	+	.	LOC_00002971	geneID=LOC_00002971	protein_coding	function_unknown	150	0	0	0
chr1	EviAnn	gene	395876838	395886950	.	-	.	LOC_00002972	geneID=LOC_00002972	protein_coding	Hlx:_H2.0-like_homeobox_protein_(Rattus_norvegicus)	1818	0	0	0
chr1	EviAnn	gene	395940600	395966829	.	-	.	LOC_00002973	geneID=LOC_00002973	protein_coding	MTARC1:_Mitochondrial_amidoxime-reducing_component_1_(Homo_sapiens)	3165	0	3.38004	0
chr1	EviAnn	gene	395970082	395985710	.	-	.	LOC_00002974	geneID=LOC_00002974	protein_coding	MTARC2:_Mitochondrial_amidoxime_reducing_component_2_(Bos_taurus)	3066	0	0.813302	0
chr1	EviAnn	gene	395986461	395999836	.	-	.	LOC_00002975	geneID=LOC_00002975	protein_coding	MTARC2:_Mitochondrial_amidoxime_reducing_component_2_(Bos_taurus)	3470	0	0	0.756254
chr1	EviAnn	gene	396004707	396005422	.	+	.	LOC_00002976	geneID=LOC_00002976	protein_coding	Pfn3:_Profilin-3_(Rattus_norvegicus)	716	0	4.3565	0
chr1	EviAnn	gene	396025338	396039047	.	-	.	LOC_00002977	geneID=LOC_00002977	protein_coding	C1orf115:_Required_for_drug-induced_death_protein_1_(Homo_sapiens)	4893	7.03989	3.21858	4.62492
chr1	EviAnn	gene	396049238	396134744	.	-	.	LOC_00002978	geneID=LOC_00002978	protein_coding	MARK1:_Serine/threonine-protein_kinase_MARK1_(Homo_sapiens)	4339	2.41816	0	0.582349
chr1	EviAnn	gene	396200242	396269653	.	+	.	LOC_00002979	geneID=LOC_00002979	protein_coding	RAB3GAP2:_Rab3_GTPase-activating_protein_non-catalytic_subunit_(Homo_sapiens)	5107	53.8679	45.6854	53.2383
chr1	EviAnn	gene	396261490	396318531	.	-	.	LOC_00002980	geneID=LOC_00002980	protein_coding	IARS2:_Isoleucine--tRNA_ligase,_mitochondrial_(Gallus_gallus)	9046.93	267.246	214.285	263.098
chr1	EviAnn	gene	396321895	396336929	.	+	.	LOC_00002981	geneID=LOC_00002981	protein_coding	BPNT1:_3'(2'),5'-bisphosphate_nucleotidase_1_(Bos_taurus)	4472	0	1.08147	0
chr1	EviAnn	gene	396346201	396414972	.	+	.	LOC_00002982	geneID=LOC_00002982	protein_coding	EPRS1:_Bifunctional_glutamate/proline--tRNA_ligase_(Homo_sapiens)	4787	0.872997	0.356932	0.525698
chr1	EviAnn	gene	396420575	396447632	.	+	.	LOC_00002983	geneID=LOC_00002983	protein_coding	Slc30a10:_Calcium/manganese_antiporter_SLC30A10_(Mus_musculus)	5291	0.809202	0.50781	2.25105
chr1	EviAnn	gene	396867166	396902459	.	-	.	LOC_00002984	geneID=LOC_00002984	protein_coding	LYPLAL1:_Lysophospholipase-like_protein_1_(Homo_sapiens)	1186.73	0	0	0
chr1	EviAnn	gene	397379239	397505628	.	-	.	LOC_00002985	geneID=LOC_00002985	protein_coding	Tgfb2:_Transforming_growth_factor_beta-2_proprotein_(Mus_musculus)	5206	1.60014	0	3.85486
chr1	EviAnn	gene	397515767	397526172	.	-	.	LOC_00002986	geneID=LOC_00002986	protein_coding	F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)	5013	9.25544	5.74112	4.16625
chr1	EviAnn	gene	397519088	397577744	.	-	.	LOC_00002987	geneID=LOC_00002987	protein_coding	RRP15:_RRP15-like_protein_(Bos_taurus)	15209.7	6.82189	2.09993	6.02005
chr1	EviAnn	gene	397977802	398116724	.	-	.	LOC_00002988	geneID=LOC_00002988	protein_coding	SPATA17:_Spermatogenesis-associated_protein_17_(Homo_sapiens)	2409	0	0	0
chr1	EviAnn	gene	398116456	398262696	.	+	.	LOC_00002989	geneID=LOC_00002989	protein_coding	GPATCH2:_G_patch_domain-containing_protein_2_(Homo_sapiens)	2154.6	0	2.47736	0
chr1	EviAnn	gene	398375983	398382856	.	-	.	LOC_00002990	geneID=LOC_00002990	protein_coding	function_unknown	1577	164.473	107.064	122.986
chr1	EviAnn	gene	398489259	399195009	.	+	.	LOC_00002991	geneID=LOC_00002991	protein_coding	Esrrg:_Estrogen-related_receptor_gamma_(Rattus_norvegicus)	4344	0	0	0
chr1	EviAnn	gene	399235649	400041904	.	+	.	LOC_00002992	geneID=LOC_00002992	protein_coding	USH2A:_Usherin_(Homo_sapiens)	15671	0.129614	0	0
chr1	EviAnn	gene	400046635	400108106	.	-	.	LOC_00002993	geneID=LOC_00002993	protein_coding	KCTD3:_BTB/POZ_domain-containing_protein_KCTD3_(Homo_sapiens)	3338.67	0	0	0
chr1	EviAnn	gene	400352049	400562283	.	-	.	LOC_00002994	geneID=LOC_00002994	protein_coding	KCNK2:_Potassium_channel_subfamily_K_member_2_(Homo_sapiens)	4349	0.482469	0.556704	0
chr1	EviAnn	gene	400623499	400623567	.	+	.	LOC_00002995	geneID=LOC_00002995	protein_coding	function_unknown	69	0	0	0
chr1	EviAnn	gene	400782970	400824086	.	-	.	LOC_00002996	geneID=LOC_00002996	protein_coding	CENPF:_Centromere_protein_F_(Homo_sapiens)	8808.5	0	0	0
chr1	EviAnn	gene	400919022	401030329	.	+	.	LOC_00002997	geneID=LOC_00002997	protein_coding	PTPN14:_Tyrosine-protein_phosphatase_non-receptor_type_14_(Homo_sapiens)	2671.5	0	0	0
chr1	EviAnn	gene	401068286	401093527	.	-	.	LOC_00002998	geneID=LOC_00002998	protein_coding	SMYD2:_N-lysine_methyltransferase_SMYD2_(Gallus_gallus)	396	9.41185	0	0
chr1	EviAnn	gene	401272290	401363397	.	-	.	LOC_00002999	geneID=LOC_00002999	protein_coding	PROX1:_Prospero_homeobox_protein_1_(Homo_sapiens)	4067.33	0	0	0
chr1	EviAnn	gene	401423806	401432056	.	-	.	LOC_00003000	geneID=LOC_00003000	protein_coding	env:_Envelope_glycoprotein_gp95_(Rous_sarcoma_virus_subgroup_B_(strain_Schmidt-Ruppin))	2410	163.948	207.833	54.5284
chr1	EviAnn	gene	401585794	401610683	.	-	.	LOC_00003001	geneID=LOC_00003001	protein_coding	function_unknown	1067	0	0	2.73466
chr1	EviAnn	gene	402164141	402309496	.	-	.	LOC_00003002	geneID=LOC_00003002	protein_coding	RPS6KC1:_Ribosomal_protein_S6_kinase_delta-1_(Homo_sapiens)	3619.36	0	1.29969	0
chr1	EviAnn	gene	402305896	402312615	.	-	.	LOC_00003003	geneID=LOC_00003003	protein_coding	kti12:_Protein_KTI12_homolog_(Danio_rerio)	6720	1.53642	2.12848	0.740559
chr1	EviAnn	gene	402313190	402337740	.	+	.	LOC_00003005	geneID=LOC_00003005	protein_coding	ANGEL2:_Protein_angel_homolog_2_(Bos_taurus)	5041.16	38.6436	19.5263	30.2561
chr1	EviAnn	gene	402313206	402343875	.	+	.	LOC_00003004	geneID=LOC_00003004	protein_coding	Pol:_LINE-1_retrotransposable_element_ORF2_protein_(Mus_musculus)	29283	0.292455	0.161509	0
