Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	rna_30	rna_35	rna_L007
chr12	EviAnn	gene	25446663	25469541	.	+	.	LOC_00015637	geneID=LOC_00015637	protein_coding	MSS51:_Putative_protein_MSS51_homolog,_mitochondrial_(Homo_sapiens)	1362	0	0	0
chr12	EviAnn	gene	25478013	25548733	.	-	.	LOC_00015638	geneID=LOC_00015638	protein_coding	Pitpnc1:_Cytoplasmic_phosphatidylinositol_transfer_protein_1_(Mus_musculus)	707	0	6.92186	0
chr12	EviAnn	gene	25587998	25593057	.	-	.	LOC_00015639	geneID=LOC_00015639	protein_coding	myadm:_Myeloid-associated_differentiation_marker_homolog_(Xenopus_laevis)	888	0	5.72282	0
chr12	EviAnn	gene	25601388	25677495	.	-	.	LOC_00015640	geneID=LOC_00015640	protein_coding	SEPTIN12:_Septin-12_(Bos_taurus)	1051.5	0	19.2334	0
chr12	EviAnn	gene	25797145	25803058	.	+	.	LOC_00015641	geneID=LOC_00015641	protein_coding	galr2b:_Galanin_receptor_2b_(Danio_rerio)	768	0	47.1918	0
chr12	EviAnn	gene	25880109	25913402	.	-	.	LOC_00015643	geneID=LOC_00015643	protein_coding	ROGDI:_Protein_rogdi_homolog_(Homo_sapiens)	756.6	0	0	0
chr12	EviAnn	gene	25881361	25883290	.	+	.	LOC_00015642	geneID=LOC_00015642	protein_coding	SMIM22:_Small_integral_membrane_protein_22_(Homo_sapiens)	261	43.1489	37.6724	0
chr12	EviAnn	gene	25891862	25906391	.	-	.	LOC_00015644	geneID=LOC_00015644	protein_coding	function_unknown	252	0	40.4349	0
chr12	EviAnn	gene	25906502	25964181	.	-	.	LOC_00015645	geneID=LOC_00015645	protein_coding	GLYR1:_Cytokine-like_nuclear_factor_N-PAC_(Gallus_gallus)	1365	7.9396	13.1625	9.85617
chr12	EviAnn	gene	25964193	25996434	.	+	.	LOC_00015646	geneID=LOC_00015646	protein_coding	Ubn1:_Ubinuclein-1_(Mus_musculus)	2287.41	0	30.1589	0
chr12	EviAnn	gene	25998573	26080999	.	-	.	LOC_00015647	geneID=LOC_00015647	protein_coding	PPL:_Periplakin_(Homo_sapiens)	5292	0	0	1.59439
chr12	EviAnn	gene	26251233	26319104	.	+	.	LOC_00015648	geneID=LOC_00015648	protein_coding	sec14l1:_SEC14-like_protein_5_(Xenopus_tropicalis)	2064	0	8.92684	0
chr12	EviAnn	gene	26322361	26344629	.	-	.	LOC_00015649	geneID=LOC_00015649	protein_coding	ANTKMT:_Adenine_nucleotide_translocase_lysine_N-methyltransferase_(Homo_sapiens)	642	20.0305	0	22.2935
chr12	EviAnn	gene	26344628	26405990	.	+	.	LOC_00015650	geneID=LOC_00015650	protein_coding	wdr90:_WD_repeat-containing_protein_90_(Xenopus_tropicalis)	1497	3.57565	18.0059	0
chr12	EviAnn	gene	26405057	26433679	.	-	.	LOC_00015651	geneID=LOC_00015651	protein_coding	NAGPA:_N-acetylglucosamine-1-phosphodiester_alpha-N-acetylglucosaminidase_(Bos_taurus)	1536.86	0	0	0
chr12	EviAnn	gene	26438303	26440097	.	+	.	LOC_00015652	geneID=LOC_00015652	protein_coding	OR5V1:_Olfactory_receptor_5V1_(Homo_sapiens)	651	0	0	0
chr12	EviAnn	gene	26449444	26467992	.	-	.	LOC_00015653	geneID=LOC_00015653	protein_coding	UPF0764_protein_C16orf89_homolog_(Mus_musculus)	792	0	0	0
chr12	EviAnn	gene	26479953	26501624	.	+	.	LOC_00015654	geneID=LOC_00015654	protein_coding	ALG1:_Chitobiosyldiphosphodolichol_beta-mannosyltransferase_(Homo_sapiens)	963	0	13.7048	0
chr12	EviAnn	gene	26497474	26500443	.	-	.	LOC_00015655	geneID=LOC_00015655	protein_coding	function_unknown	561	193.172	179.767	136.047
chr12	EviAnn	gene	26504092	26523189	.	-	.	LOC_00015656	geneID=LOC_00015656	protein_coding	EEF2KMT:_Protein-lysine_N-methyltransferase_EEF2KMT_(Bos_taurus)	945	0	4.47454	0
chr12	EviAnn	gene	26526649	26566447	.	-	.	LOC_00015657	geneID=LOC_00015657	protein_coding	Enpp7:_Ectonucleotide_pyrophosphatase/phosphodiesterase_family_member_7_(Mus_musculus)	1377	0	0	0
chr12	EviAnn	gene	26576902	26586943	.	+	.	LOC_00015658	geneID=LOC_00015658	protein_coding	LINE-1_retrotransposable_element_ORF2_protein_(Homo_sapiens)	987	0	15.0663	5.99694
chr12	EviAnn	gene	28013290	29958601	.	+	.	LOC_00015659	geneID=LOC_00015659	protein_coding	RBFOX1:_RNA_binding_protein_fox-1_homolog_1_(Homo_sapiens)	1171.5	0	7.97375	0
chr12	EviAnn	gene	30345432	30345542	.	-	.	LOC_00015660	geneID=LOC_00015660	protein_coding	function_unknown	111	0	0	0
chr12	EviAnn	gene	30388595	30390346	.	-	.	XLOC_004574U_lncRNA	geneID=XLOC_004574U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	31241323	31261102	.	-	.	LOC_00015661	geneID=LOC_00015661	protein_coding	TMEM114:_Transmembrane_protein_114_(Homo_sapiens)	636	0	0	0
chr12	EviAnn	gene	31278212	31299328	.	+	.	LOC_00015662	geneID=LOC_00015662	protein_coding	METTL22:_Methyltransferase-like_protein_22_(Homo_sapiens)	1026.69	0	3.64345	6.50188
chr12	EviAnn	gene	31337120	31367906	.	+	.	LOC_00015663	geneID=LOC_00015663	protein_coding	ABAT:_4-aminobutyrate_aminotransferase,_mitochondrial_(Sus_scrofa)	1503	3.55958	0	0
chr12	EviAnn	gene	31382308	31382998	.	-	.	LOC_00015664	geneID=LOC_00015664	protein_coding	tmem186:_Transmembrane_protein_186_(Danio_rerio)	288	0	0	0
chr12	EviAnn	gene	31391049	31412613	.	+	.	LOC_00015665	geneID=LOC_00015665	protein_coding	PMM2:_Phosphomannomutase_2_(Macaca_fascicularis)	780	0	6.39898	0
chr12	EviAnn	gene	31414922	31443238	.	-	.	LOC_00015666	geneID=LOC_00015666	protein_coding	CARHSP1:_Calcium-regulated_heat-stable_protein_1_(Homo_sapiens)	415	0	0	0
chr12	EviAnn	gene	31504743	31515149	.	+	.	LOC_00015667	geneID=LOC_00015667	protein_coding	LITAF:_Lipopolysaccharide-induced_tumor_necrosis_factor-alpha_factor_homolog_(Gallus_gallus)	567	11.892	0	0
chr12	EviAnn	gene	31514915	31625054	.	-	.	LOC_00015668	geneID=LOC_00015668	protein_coding	USP7:_Ubiquitin_carboxyl-terminal_hydrolase_7_(Gallus_gallus)	2583	0	2.71656	3.21269
chr12	EviAnn	gene	31676448	31710877	.	+	.	LOC_00015669	geneID=LOC_00015669	protein_coding	hapstr1:_HUWE1-associated_protein_modifying_stress_responses_(Xenopus_tropicalis)	852	0	36.1721	41.8948
chr12	EviAnn	gene	31676495	31700362	.	+	.	LOC_00015670	geneID=LOC_00015670	protein_coding	function_unknown	318	0	0	0
chr12	EviAnn	gene	31721091	31743579	.	+	.	LOC_00015671	geneID=LOC_00015671	protein_coding	TEKT4:_Tektin-4_(Bos_taurus)	887	0	18.8174	0
chr12	EviAnn	gene	31816873	31853279	.	+	.	LOC_00015672	geneID=LOC_00015672	protein_coding	C1qtnf1:_Complement_C1q_tumor_necrosis_factor-related_protein_1_(Mus_musculus)	751	0	5.33906	0
chr12	EviAnn	gene	31925288	31926415	.	-	.	LOC_00015673	geneID=LOC_00015673	protein_coding	SSTR5:_Somatostatin_receptor_type_5_(Bos_taurus)	1113	0	4.34526	0
chr12	EviAnn	gene	32165675	32165815	.	-	.	LOC_00015674	geneID=LOC_00015674	protein_coding	function_unknown	141	0	0	0
chr12	EviAnn	gene	32195141	32212803	.	-	.	LOC_00015675	geneID=LOC_00015675	protein_coding	SOX8:_Transcription_factor_SOX-8_(Gallus_gallus)	1401	0	26.5726	0
chr12	EviAnn	gene	32233190	32541822	.	+	.	LOC_00015676	geneID=LOC_00015676	protein_coding	Lmf1:_Lipase_maturation_factor_1_(Mus_musculus)	1626	0	5.9171	2.94919
chr12	EviAnn	gene	32764481	32887407	.	+	.	LOC_00015677	geneID=LOC_00015677	protein_coding	HS3ST3B1:_Heparan_sulfate_glucosamine_3-O-sulfotransferase_3B1_(Homo_sapiens)	1125	0	8.58033	4.26882
chr12	EviAnn	gene	32805744	32805827	.	+	.	LOC_00015678	geneID=LOC_00015678	protein_coding	function_unknown	84	0	0	0
chr12	EviAnn	gene	32977608	33003327	.	+	.	LOC_00015679	geneID=LOC_00015679	protein_coding	MEIOB:_Meiosis-specific_with_OB_domain-containing_protein_(Homo_sapiens)	1265.25	0	6.54675	3.26161
chr12	EviAnn	gene	33004884	33007042	.	-	.	LOC_00015680	geneID=LOC_00015680	protein_coding	Fahd1:_Oxaloacetate_tautomerase_FAHD1,_mitochondrial_(Rattus_norvegicus)	672	0	0	8.14334
chr12	EviAnn	gene	33007204	33036574	.	+	.	LOC_00015681	geneID=LOC_00015681	protein_coding	HAGH:_Hydroxyacylglutathione_hydrolase,_mitochondrial_(Gallus_gallus)	783	7.72252	0	0
chr12	EviAnn	gene	33038322	33049454	.	+	.	LOC_00015682	geneID=LOC_00015682	protein_coding	HAGHL:_Hydroxyacylglutathione_hydrolase-like_protein_(Gallus_gallus)	318	59.5876	52.3834	288.479
chr12	EviAnn	gene	33049568	33062552	.	-	.	LOC_00015683	geneID=LOC_00015683	protein_coding	CIAO3:_Cytosolic_iron-sulfur_assembly_component_3_(Homo_sapiens)	1440	265.243	366.952	481.133
chr12	EviAnn	gene	33293080	33296904	.	-	.	LOC_00015684	geneID=LOC_00015684	protein_coding	function_unknown	300	0	0	0
chr12	EviAnn	gene	33373124	33388682	.	-	.	LOC_00015685	geneID=LOC_00015685	protein_coding	RPUSD1:_RNA_pseudouridylate_synthase_domain-containing_protein_1_(Bos_taurus)	773	0	0	0
chr12	EviAnn	gene	33392350	33445451	.	+	.	LOC_00015686	geneID=LOC_00015686	protein_coding	chtf18:_Chromosome_transmission_fidelity_protein_18_homolog_(Xenopus_laevis)	2106	0	28.9932	0
chr12	EviAnn	gene	33438506	33444610	.	+	.	LOC_00015687	geneID=LOC_00015687	protein_coding	function_unknown	261	0	0	0
chr12	EviAnn	gene	33444156	33460550	.	-	.	LOC_00015688	geneID=LOC_00015688	protein_coding	Gng13:_Guanine_nucleotide-binding_protein_G(I)/G(S)/G(O)_subunit_gamma-13_(Mus_musculus)	204	0	63.1042	0
chr12	EviAnn	gene	33472132	33516086	.	-	.	LOC_00015689	geneID=LOC_00015689	protein_coding	function_unknown	2060.25	0	2.27293	0
chr12	EviAnn	gene	33534490	33552350	.	-	.	LOC_00015690	geneID=LOC_00015690	protein_coding	MSRB1:_Methionine-R-sulfoxide_reductase_B1_(Bos_taurus)	279	75.8152	99.4999	66.8684
chr12	EviAnn	gene	33576930	33615327	.	+	.	LOC_00015691	geneID=LOC_00015691	protein_coding	TEX2:_Testis-expressed_protein_2_(Homo_sapiens)	2583	0	8.8063	0
chr12	EviAnn	gene	33618095	33642832	.	-	.	LOC_00015692	geneID=LOC_00015692	protein_coding	RPL3L:_Large_ribosomal_subunit_protein_uL3-like_(Bos_taurus)	1068	0	0	0
chr12	EviAnn	gene	33643023	33648099	.	+	.	LOC_00015693	geneID=LOC_00015693	protein_coding	NDUFB10:_NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_10_(Bos_taurus)	534	64.7866	56.836	67.4353
chr12	EviAnn	gene	33646146	33655733	.	-	.	LOC_00015694	geneID=LOC_00015694	protein_coding	Rps2:_Small_ribosomal_subunit_protein_uS5_(Rattus_norvegicus)	846	14.0132	36.4972	24.1533
chr12	EviAnn	gene	33655800	33657855	.	+	.	XLOC_004418U_lncRNA	geneID=XLOC_004418U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	33663126	33713949	.	+	.	LOC_00015695	geneID=LOC_00015695	protein_coding	Tbl3:_Transducin_beta-like_protein_3_(Rattus_norvegicus)	2676	5.68516	0	0
chr12	EviAnn	gene	33699129	33708877	.	-	.	LOC_00015696	geneID=LOC_00015696	protein_coding	Noxo1:_NADPH_oxidase_organizer_1_(Mus_musculus)	1554	312.006	401.485	481.533
chr12	EviAnn	gene	33748073	33762174	.	+	.	LOC_00015697	geneID=LOC_00015697	protein_coding	Gfer:_FAD-linked_sulfhydryl_oxidase_ALR_(Mus_musculus)	573	0	41.6334	0
chr12	EviAnn	gene	33775297	33813532	.	+	.	LOC_00015698	geneID=LOC_00015698	protein_coding	SYNGR3:_Synaptogyrin-3_(Bos_taurus)	690	0	7.93402	0
chr12	EviAnn	gene	33814056	33843779	.	-	.	LOC_00015699	geneID=LOC_00015699	protein_coding	Znf598:_E3_ubiquitin-protein_ligase_ZNF598_(Mus_musculus)	2637	0	13.2132	6.59748
chr12	EviAnn	gene	33836742	33836819	.	+	.	LOC_00015700	geneID=LOC_00015700	protein_coding	function_unknown	78	0	0	0
chr12	EviAnn	gene	33901554	33991992	.	+	.	LOC_00015701	geneID=LOC_00015701	protein_coding	Nherf2:_Na(+)/H(+)_exchange_regulatory_cofactor_NHE-RF2_(Rattus_norvegicus)	921	69.4007	16.4054	76.061
chr12	EviAnn	gene	33993210	34009969	.	-	.	LOC_00015702	geneID=LOC_00015702	protein_coding	NTHL1:_Endonuclease_III-like_protein_1_(Gallus_gallus)	665.4	0	55.5313	0
chr12	EviAnn	gene	34010033	34072177	.	+	.	LOC_00015703	geneID=LOC_00015703	protein_coding	Tsc2:_Tuberin_(Rattus_norvegicus)	3418.41	0	3.67059	0
chr12	EviAnn	gene	34077824	34246670	.	-	.	LOC_00015704	geneID=LOC_00015704	protein_coding	PKD1:_Polycystin-1_(Homo_sapiens)	12132	0.397315	5.64554	3.73821
chr12	EviAnn	gene	34274309	34470864	.	+	.	LOC_00015705	geneID=LOC_00015705	protein_coding	RAB26:_Ras-related_protein_Rab-26_(Homo_sapiens)	807	0	25.8402	0
chr12	EviAnn	gene	34475410	34482591	.	-	.	XLOC_004598U_lncRNA	geneID=XLOC_004598U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	34482911	34545398	.	+	.	LOC_00015706	geneID=LOC_00015706	protein_coding	TRAF7:_E3_ubiquitin-protein_ligase_TRAF7_(Homo_sapiens)	2010	7.7402	28.0432	8.84926
chr12	EviAnn	gene	34545349	34674749	.	-	.	LOC_00015707	geneID=LOC_00015707	protein_coding	CASKIN1:_Caskin-1_(Homo_sapiens)	4446	21.1103	25.6908	27.5821
chr12	EviAnn	gene	34688261	34734375	.	-	.	LOC_00015708	geneID=LOC_00015708	protein_coding	Hexd:_Hexosaminidase_D_(Mus_musculus)	1695	0	5.35523	2.67017
chr12	EviAnn	gene	34734531	34753251	.	+	.	LOC_00015709	geneID=LOC_00015709	protein_coding	mlst8:_Target_of_rapamycin_complex_subunit_lst8_(Danio_rerio)	904.5	0	15.1789	10.0591
chr12	EviAnn	gene	34753336	34760468	.	-	.	LOC_00015710	geneID=LOC_00015710	protein_coding	BRICD5:_BRICHOS_domain-containing_protein_5_(Homo_sapiens)	681	46.2769	8.076	55.9936
chr12	EviAnn	gene	34757663	34763031	.	+	.	XLOC_004427U_lncRNA	geneID=XLOC_004427U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	34763111	34767880	.	-	.	LOC_00015711	geneID=LOC_00015711	protein_coding	PGP:_Glycerol-3-phosphate_phosphatase_(Gallus_gallus)	930	31.1734	64.8359	42.9467
chr12	EviAnn	gene	34768285	34786212	.	+	.	LOC_00015712	geneID=LOC_00015712	protein_coding	E4F1:_Transcription_factor_E4F1_(Homo_sapiens)	2318.19	81.7826	53.5377	120.391
chr12	EviAnn	gene	34782501	34798394	.	-	.	LOC_00015713	geneID=LOC_00015713	protein_coding	ZDHHC4:_Palmitoyltransferase_ZDHHC4_(Homo_sapiens)	687.279	237.736	140.412	220.536
chr12	EviAnn	gene	34891798	34896607	.	+	.	LOC_00015714	geneID=LOC_00015714	protein_coding	function_unknown	348	0	0	0
chr12	EviAnn	gene	34906286	34941187	.	+	.	LOC_00015715	geneID=LOC_00015715	protein_coding	Slc5a11:_Sodium/myo-inositol_cotransporter_2_(Mus_musculus)	1935	34.9641	32.3646	36.9037
chr12	EviAnn	gene	34962383	35053369	.	-	.	LOC_00015716	geneID=LOC_00015716	protein_coding	ARHGAP17:_Rho_GTPase-activating_protein_17_(Homo_sapiens)	2177.25	0	20.8484	0
chr12	EviAnn	gene	35023072	35053348	.	-	.	LOC_00015717	geneID=LOC_00015717	protein_coding	pol:_Retrovirus-related_Pol_polyprotein_from_type-2_retrotransposable_element_R2DM_(Drosophila_melanogaster)	1107	63.0472	30.7824	22.2703
chr12	EviAnn	gene	35024770	35053348	.	-	.	LOC_00015718	geneID=LOC_00015718	protein_coding	function_unknown	561	0	0	0
chr12	EviAnn	gene	35053520	35083669	.	+	.	LOC_00015719	geneID=LOC_00015719	protein_coding	LCMT1:_Leucine_carboxyl_methyltransferase_1_(Homo_sapiens)	849.75	0	0	0
chr12	EviAnn	gene	35083036	35089336	.	+	.	LOC_00015720	geneID=LOC_00015720	protein_coding	function_unknown	387	0	0	0
chr12	EviAnn	gene	35083036	35121082	.	+	.	LOC_00015721	geneID=LOC_00015721	protein_coding	AQP8:_Aquaporin-8_(Homo_sapiens)	609.386	204.301	246.195	323.871
chr12	EviAnn	gene	35169015	35428314	.	+	.	LOC_00015722	geneID=LOC_00015722	protein_coding	PRKCB:_Protein_kinase_C_beta_type_(Bos_taurus)	1913	0	2.78792	0
chr12	EviAnn	gene	35447912	35561817	.	+	.	LOC_00015723	geneID=LOC_00015723	protein_coding	CACNG3:_Voltage-dependent_calcium_channel_gamma-3_subunit_(Bos_taurus)	945	0	5.29727	0
chr12	EviAnn	gene	35618648	35628148	.	-	.	LOC_00015724	geneID=LOC_00015724	protein_coding	function_unknown	327	0	0	0
chr12	EviAnn	gene	35645916	35684198	.	+	.	LOC_00015725	geneID=LOC_00015725	protein_coding	Rbbp6:_E3_ubiquitin-protein_ligase_RBBP6_(Mus_musculus)	5280	8.36837	16.7151	13.5284
chr12	EviAnn	gene	35782742	35890032	.	+	.	LOC_00015726	geneID=LOC_00015726	protein_coding	Tnrc6a:_Trinucleotide_repeat-containing_gene_6A_protein_(Mus_musculus)	4920	7.00177	3.02689	0
chr12	EviAnn	gene	35810464	35810541	.	+	.	LOC_00015727	geneID=LOC_00015727	protein_coding	function_unknown	78	0	0	0
chr12	EviAnn	gene	35920898	35926367	.	-	.	LOC_00015728	geneID=LOC_00015728	protein_coding	NDUFAB1:_Acyl_carrier_protein,_mitochondrial_(Bos_taurus)	301.5	0	30.168	0
chr12	EviAnn	gene	35926385	35930318	.	+	.	XLOC_004434U_lncRNA	geneID=XLOC_004434U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	35926639	35971621	.	+	.	LOC_00015730	geneID=LOC_00015730	protein_coding	DCTN5:_Dynactin_subunit_5_(Sus_scrofa)	542.25	0	6.05566	0
chr12	EviAnn	gene	35926847	36003446	.	-	.	LOC_00015729	geneID=LOC_00015729	protein_coding	PALB2:_Partner_and_localizer_of_BRCA2_(Homo_sapiens)	1076.22	115.091	149.576	182.298
chr12	EviAnn	gene	35998591	35999223	.	+	.	LOC_00015731	geneID=LOC_00015731	protein_coding	Diras2:_GTP-binding_protein_Di-Ras2_(Mus_musculus)	627	0	36.1507	0
chr12	EviAnn	gene	36000940	36016658	.	+	.	LOC_00015732	geneID=LOC_00015732	protein_coding	PLK1:_Serine/threonine-protein_kinase_PLK1_(Homo_sapiens)	1442.25	0	5.15601	7.5213
chr12	EviAnn	gene	36022698	36047228	.	-	.	LOC_00015733	geneID=LOC_00015733	protein_coding	ERN2:_Serine/threonine-protein_kinase/endoribonuclease_IRE2_(Homo_sapiens)	2762	0	4.85425	0
chr12	EviAnn	gene	36054525	36071431	.	-	.	LOC_00015734	geneID=LOC_00015734	protein_coding	UBFD1:_Ubiquitin_domain-containing_protein_UBFD1_(Homo_sapiens)	784.8	0	0	0
chr12	EviAnn	gene	36070921	36084624	.	+	.	LOC_00015735	geneID=LOC_00015735	protein_coding	EARS2:_Nondiscriminating_glutamyl-tRNA_synthetase_EARS2,_mitochondrial_(Gallus_gallus)	1536	10.4212	11.965	20.8715
chr12	EviAnn	gene	36090047	36114342	.	+	.	LOC_00015736	geneID=LOC_00015736	protein_coding	Gga2:_ADP-ribosylation_factor-binding_protein_GGA2_(Mus_musculus)	1653	92.8039	71.6011	74.1404
chr12	EviAnn	gene	36099824	36119135	.	-	.	LOC_00015737	geneID=LOC_00015737	protein_coding	CFDP2:_Craniofacial_development_protein_2_(Bos_taurus)	3144	162.903	125.973	178.137
chr12	EviAnn	gene	36119584	36245523	.	+	.	LOC_00015738	geneID=LOC_00015738	protein_coding	Cog7:_Conserved_oligomeric_Golgi_complex_subunit_7_(Mus_musculus)	1601	0	4.95346	0
chr12	EviAnn	gene	36177001	36225837	.	-	.	LOC_00015739	geneID=LOC_00015739	protein_coding	SCNN1B:_Epithelial_sodium_channel_subunit_beta_(Pelodiscus_sinensis)	1993.42	111.95	70.6984	86.615
chr12	EviAnn	gene	36269943	36292298	.	-	.	LOC_00015740	geneID=LOC_00015740	protein_coding	SCNN1G:_Epithelial_sodium_channel_subunit_gamma_(Pelodiscus_sinensis)	1890	2.75982	0	0
chr12	EviAnn	gene	36319127	36402459	.	+	.	LOC_00015741	geneID=LOC_00015741	protein_coding	USP31:_Ubiquitin_carboxyl-terminal_hydrolase_31_(Homo_sapiens)	4071	2.43561	13.5613	2.08521
chr12	EviAnn	gene	36423986	36444874	.	-	.	LOC_00015742	geneID=LOC_00015742	protein_coding	function_unknown	306	0	0	0
chr12	EviAnn	gene	36458135	36469056	.	+	.	XLOC_004436U_lncRNA	geneID=XLOC_004436U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	36519690	36568026	.	-	.	LOC_00015743	geneID=LOC_00015743	protein_coding	HS3ST2:_Heparan_sulfate_glucosamine_3-O-sulfotransferase_2_(Homo_sapiens)	1071	0	13.6492	0
chr12	EviAnn	gene	36724370	36854862	.	+	.	LOC_00015744	geneID=LOC_00015744	protein_coding	HS3ST4:_Heparan_sulfate_glucosamine_3-O-sulfotransferase_4_(Homo_sapiens)	892.5	0	8.34235	0
chr12	EviAnn	gene	37194780	37206387	.	+	.	LOC_00015745	geneID=LOC_00015745	protein_coding	function_unknown	714	182.641	53.0528	142.713
chr12	EviAnn	gene	37363562	37407304	.	+	.	LOC_00015746	geneID=LOC_00015746	protein_coding	KDM8:_Bifunctional_peptidase_and_arginyl-hydroxylase_JMJD5_(Bos_taurus)	492	233.883	63.179	215.694
chr12	EviAnn	gene	37363562	37428434	.	+	.	LOC_00015750	geneID=LOC_00015750	protein_coding	pol:_Retrovirus-related_Pol_polyprotein_from_type-2_retrotransposable_element_R2DM_(Drosophila_melanogaster)	939	141.725	156.855	161.664
chr12	EviAnn	gene	37363562	37444608	.	+	.	LOC_00015749	geneID=LOC_00015749	protein_coding	IL4R:_Interleukin-4_receptor_subunit_alpha_(Homo_sapiens)	2109	4.89701	16.8271	10.4959
chr12	EviAnn	gene	37374184	37398166	.	-	.	LOC_00015747	geneID=LOC_00015747	protein_coding	function_unknown	231	2490.96	2591.94	2266.86
chr12	EviAnn	gene	37376338	37398338	.	-	.	LOC_00015748	geneID=LOC_00015748	protein_coding	nsmce1:_Non-structural_maintenance_of_chromosomes_element_1_homolog_(Xenopus_laevis)	603	294.619	204.339	255.073
chr12	EviAnn	gene	37444764	37475380	.	+	.	LOC_00015751	geneID=LOC_00015751	protein_coding	IL21R:_Interleukin-21_receptor_(Homo_sapiens)	1842	105.04	82.994	77.9199
chr12	EviAnn	gene	37480093	37492065	.	+	.	LOC_00015752	geneID=LOC_00015752	protein_coding	IL9R:_Interleukin-9_receptor_(Homo_sapiens)	1362	135.312	185.276	352.05
chr12	EviAnn	gene	37502629	37518120	.	-	.	XLOC_004613U_lncRNA	geneID=XLOC_004613U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	37509104	37518179	.	+	.	LOC_00015753	geneID=LOC_00015753	protein_coding	function_unknown	141	214.29	555.2	561.843
chr12	EviAnn	gene	37518162	37632285	.	+	.	LOC_00015754	geneID=LOC_00015754	protein_coding	Pdpk1:_3-phosphoinositide-dependent_protein_kinase_1_(Rattus_norvegicus)	1039.21	70.8964	107.502	20.5686
chr12	EviAnn	gene	37593629	37650467	.	+	.	LOC_00015755	geneID=LOC_00015755	protein_coding	Kctd5:_BTB/POZ_domain-containing_protein_KCTD5_(Mus_musculus)	563.239	107.428	49.3795	13.314
chr12	EviAnn	gene	37653391	37670050	.	-	.	LOC_00015756	geneID=LOC_00015756	protein_coding	TSR3:_18S_rRNA_aminocarboxypropyltransferase_(Homo_sapiens)	1002	51.2705	105.637	80.6736
chr12	EviAnn	gene	37669809	37690906	.	+	.	LOC_00015757	geneID=LOC_00015757	protein_coding	GNPTG:_N-acetylglucosamine-1-phosphotransferase_subunit_gamma_(Homo_sapiens)	879	20.0448	0	7.46983
chr12	EviAnn	gene	37773153	37777679	.	+	.	XLOC_004442U_lncRNA	geneID=XLOC_004442U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr12	EviAnn	gene	38623936	38630455	.	+	.	XLOC_004443U_lncRNA	geneID=XLOC_004443U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr13	EviAnn	gene	334971	370983	.	-	.	XLOC_004776U_lncRNA	geneID=XLOC_004776U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr13	EviAnn	gene	379974	450096	.	-	.	LOC_00018588	geneID=LOC_00018588	protein_coding	Znrf3:_E3_ubiquitin-protein_ligase_ZNRF3_(Mus_musculus)	2451	4.16357	12.6752	3.27482
chr13	EviAnn	gene	472706	475225	.	+	.	LOC_00018589	geneID=LOC_00018589	protein_coding	XBP1:_X-box-binding_protein_1_(Homo_sapiens)	789	15.2959	17.1643	6.59687
chr13	EviAnn	gene	478309	484972	.	-	.	LOC_00018590	geneID=LOC_00018590	protein_coding	Ccdc117:_Coiled-coil_domain-containing_protein_117_(Rattus_norvegicus)	924	37.7048	72.8555	86.5797
chr13	EviAnn	gene	497847	514209	.	+	.	LOC_00018591	geneID=LOC_00018591	protein_coding	SLC2A11:_Solute_carrier_family_2,_facilitated_glucose_transporter_member_11_(Homo_sapiens)	1351.5	0	11.0832	0
chr13	EviAnn	gene	516061	522804	.	-	.	LOC_00018592	geneID=LOC_00018592	protein_coding	HSCB:_Iron-sulfur_cluster_co-chaperone_protein_HscB_(Homo_sapiens)	482.4	0	45.252	14.8687
chr13	EviAnn	gene	522017	706785	.	+	.	LOC_00018593	geneID=LOC_00018593	protein_coding	Chek2:_Serine/threonine-protein_kinase_Chk2_(Mus_musculus)	5044.03	11.6977	105.596	120.449
chr13	EviAnn	gene	706753	748192	.	+	.	LOC_00018594	geneID=LOC_00018594	protein_coding	PITPNB:_Phosphatidylinositol_transfer_protein_beta_isoform_(Bos_taurus)	633	0	0	18.9597
chr13	EviAnn	gene	763333	805391	.	+	.	LOC_00018595	geneID=LOC_00018595	protein_coding	MN1:_Transcriptional_activator_MN1_(Homo_sapiens)	3444	4.35256	24.8695	1.24246
chr13	EviAnn	gene	907497	911772	.	+	.	LOC_00018596	geneID=LOC_00018596	protein_coding	function_unknown	372	0	40.1982	79.7718
chr13	EviAnn	gene	1057991	1058035	.	+	.	LOC_00018597	geneID=LOC_00018597	protein_coding	function_unknown	33	0	0	0
