"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","SRR2889291","SRR2889292","SRR2889293","Fmean","value"
"NC_052533.1","Gnomon","gene",78248305,78580376,".","+",".","gene-SEMA5A","Name=SEMA5A","protein_coding","Dbxref=CGNC:9869,GeneID:420931",3231,1.56115,2.10908,2.39494,2.02172333333333,1.01558558233605
"NC_052533.1","Gnomon","gene",78832279,78859335,".","-",".","gene-MTRR","Name=MTRR","protein_coding","Dbxref=CGNC:9870,GeneID:428502",2082,1.49324,0.886411,2.21123,1.53029366666667,0.613808535786777
"NC_052533.1","Gnomon","gene",78859151,78866453,".","+",".","gene-FASTKD3","Name=FASTKD3","protein_coding","Dbxref=CGNC:9871,GeneID:420932",1968,1.79835,1.67449,2.02947,1.83410333333333,0.875074922623229
"NC_052533.1","Gnomon","gene",78868540,79089848,".","-",".","gene-ADCY2","Name=ADCY2","protein_coding","Dbxref=CGNC:9875,GeneID:420935",3106,0,0.070041,0,0.023347,-5.42061900871268
"NC_052533.1","BestRefSeq%2CGnomon","gene",79326857,79383240,".","-",".","gene-PAPD7","Name=PAPD7","protein_coding","Dbxref=CGNC:56019,GeneID:770425",2127.28,2.0427,1.67293,2.66971,2.12844666666667,1.08980094038999
"NC_052533.1","Gnomon","gene",79395276,79411917,".","-",".","gene-SRD5A1","Name=SRD5A1","protein_coding","Dbxref=CGNC:56034,GeneID:770453",1161,1.33053,0.939668,1.34464,1.204946,0.268968493112614
"NC_052533.1","BestRefSeq","gene",79411790,79428300,".","+",".","gene-NSUN2","Name=NSUN2","protein_coding","Dbxref=CGNC:9878,GeneID:420938",2385,4.47535,4.5133,5.21299,4.73388,2.24302313539252
"NC_052533.1","Gnomon","gene",79452678,79469361,".","-",".","gene-UBE2QL1","Name=UBE2QL1","protein_coding","Dbxref=CGNC:51376,GeneID:420939",939,0.973732,1.68419,0.984604,1.21417533333333,0.279976769423729
"NC_052533.1","Gnomon","gene",79483877,79487851,".","+",".","gene-MED10","Name=MED10","protein_coding","Dbxref=CGNC:66388,GeneID:420940",444,13.6612,14.7459,14.5329,14.3133333333333,3.83928778536289
"NC_052533.1","Gnomon","gene",79565518,79575240,".","+",".","gene-UPP1","Name=UPP1","protein_coding","Dbxref=CGNC:9886,GeneID:420942",876,2.38053,3.65939,3.74517,3.26169666666667,1.70562261962061
"NC_052533.1","Gnomon","gene",79576102,79760628,".","+",".","gene-ABCA13","Name=ABCA13","protein_coding","Dbxref=CGNC:51377,GeneID:420943",13212,0.044208,0,0,0.014736,-6.08451122323284
"NC_052533.1","Gnomon","gene",80112200,80170326,".","+",".","gene-VWC2","Name=VWC2","protein_coding","Dbxref=CGNC:9891,GeneID:420944",996,1.13534,2.02006,1.83652,1.66397333333333,0.734632313180911
"NC_052533.1","BestRefSeq%2CGnomon","gene",80277409,80351254,".","+",".","gene-IKZF1","Name=IKZF1","protein_coding","Dbxref=CGNC:49585,GeneID:395974",1326.61,0.816814,0.478817,0.384183,0.559938,-0.836661003510756
"NC_052533.1","Gnomon","gene",80366781,80370840,".","-",".","gene-FIGNL1","Name=FIGNL1","protein_coding","Dbxref=CGNC:15845,GeneID:420946",2067,0.601966,0.992595,0.70908,0.767880333333333,-0.381046596386487
"NC_052533.1","Gnomon","gene",80372873,80445414,".","-",".","gene-DDC","Name=DDC","protein_coding","Dbxref=CGNC:9900,GeneID:420947",1458,0,0,0.593871,0.197957,-2.3367410111681
"NC_052533.1","Gnomon","gene",80456770,80466619,".","-",".","gene-LOC121109782","Name=LOC121109782","protein_coding","Dbxref=CGNC:89648,GeneID:121109782",741,0,0,0.329447,0.109815666666667,-3.18684420620931
"NC_052533.1","Gnomon","gene",80468611,80478442,".","-",".","gene-LOC428505","Name=LOC428505","protein_coding","Dbxref=CGNC:53384,GeneID:428505",741,0,0,0.327809,0.109269666666667,-3.19403513141787
"NC_052533.1","BestRefSeq%2CGnomon","gene",80480880,80622632,".","-",".","gene-GRB10","Name=GRB10","protein_coding","Dbxref=CGNC:9904,GeneID:420948",1791,8.55438,3.12989,7.17413,6.28613333333333,2.65217287304324
"NC_052533.1","Gnomon","gene",80696756,80847522,".","-",".","gene-COBL","Name=COBL","protein_coding","Dbxref=CGNC:9906,GeneID:420949",4011.39,3.28889,2.71338,4.55661,3.51962666666667,1.81542240763727
"NC_052533.1","Gnomon","gene",82701920,83071929,".","+",".","gene-FHOD3","Name=FHOD3","protein_coding","Dbxref=CGNC:9916,GeneID:420952",4836.3,0.410634,0,0.187474,0.199369333333333,-2.32648458109113
"NC_052533.1","BestRefSeq%2CGnomon","gene",83135613,83182979,".","+",".","gene-RPRD1A","Name=RPRD1A","protein_coding","Dbxref=CGNC:51379,GeneID:420953",874.088,6.09956,5.31329,6.68047,6.03110666666667,2.59242275105106
"NC_052533.1","Gnomon","gene",83186096,83191730,".","-",".","gene-C18orf21","Name=C18orf21","protein_coding","Dbxref=CGNC:9919,GeneID:420954",660,0.752196,1.48555,1.52331,1.25368533333333,0.326175286731464
"NC_052533.1","BestRefSeq%2CGnomon","gene",83422220,83496860,".","-",".","gene-GALNT1","Name=GALNT1","protein_coding","Dbxref=CGNC:51380,GeneID:420955",1680,12.1905,9.69655,12.3115,11.3995166666667,3.51090075108567
"NC_052533.1","Gnomon","gene",83521158,83554883,".","+",".","gene-INO80C","Name=INO80C","protein_coding","Dbxref=CGNC:9924,GeneID:420956",558,1.40892,1.98341,2.37999,1.92410666666667,0.944188779983953
"NC_052533.1","Gnomon","gene",83819513,83899637,".","-",".","gene-TMEM245","Name=TMEM245","protein_coding","Dbxref=CGNC:9925,GeneID:420957",2610,2.97154,3.26789,4.02573,3.42172,1.77472170864707
"NC_052533.1","Gnomon","gene",83903609,83920185,".","-",".","gene-FRRS1L","Name=FRRS1L","protein_coding","Dbxref=CGNC:9926,GeneID:420961",921,5.23116,3.58411,6.71145,5.17557333333333,2.37171868857155
"NC_052533.1","Gnomon","gene",83941586,84110738,".","-",".","gene-EPB41L4B","Name=EPB41L4B","protein_coding","Dbxref=CGNC:9928,GeneID:420962",1584.04,6.30149,8.66856,8.99046,7.98683666666667,2.99762421041646
"NC_052533.1","Gnomon","gene",84228959,84388215,".","-",".","gene-PTPN3","Name=PTPN3","protein_coding","Dbxref=CGNC:51381,GeneID:420963",2775,1.31916,1.52292,2.17086,1.67098,0.740694465850631
"NC_052533.1","Gnomon","gene",84414126,84627218,".","-",".","gene-MOCOS","Name=MOCOS","protein_coding","Dbxref=CGNC:9931,GeneID:420964",2607,1.56588,1.54944,2.37097,1.82876333333333,0.870868382949547
"NC_052533.1","Gnomon","gene",84748624,85238323,".","+",".","gene-LOC420965","Name=LOC420965","protein_coding","Dbxref=CGNC:84390,GeneID:420965",1080.49,3.51034,2.50739,4.27301,3.43024666666667,1.77831232333146
"NC_052533.1","Gnomon","gene",85233888,85245470,".","-",".","gene-ZNF830","Name=ZNF830","protein_coding","Dbxref=CGNC:9934,GeneID:420966",1101,8.28384,8.58931,7.55588,8.14301,3.02556217402301
"NC_052533.1","BestRefSeq%2CGnomon","gene",85247587,85256820,".","-",".","gene-BAG1","Name=BAG1","protein_coding","Dbxref=CGNC:9935,GeneID:420967",516,4.70924,5.16139,2.83238,4.23433666666667,2.08213598073448
"NC_052533.1","BestRefSeq","gene",85257492,85266670,".","-",".","gene-CHMP5","Name=CHMP5","protein_coding","Dbxref=CGNC:9936,GeneID:420968",660,11.659,11.513,12.9481,12.0400333333333,3.58976748115177
"NC_052533.1","BestRefSeq","gene",85267730,85282102,".","-",".","gene-FH","Name=FH","protein_coding","Dbxref=CGNC:9939,GeneID:420969",1402.91,89.9092,100.533,95.6875,95.3765666666667,6.57556294490706
"NC_052533.1","BestRefSeq","gene",85282789,85298718,".","-",".","gene-SDHA","Name=SDHA","protein_coding","Dbxref=CGNC:49461,GeneID:395758",1998,65.7722,76.2929,83.013,75.0260333333333,6.22931937908226
"NC_052533.1","BestRefSeq%2CGnomon","gene",85298870,85304006,".","+",".","gene-CCDC127","Name=CCDC127","protein_coding","Dbxref=CGNC:9945,GeneID:420970",795,0.595236,2.0583,3.61333,2.08895533333333,1.06278164459869
"NC_052533.1","BestRefSeq%2CGnomon","gene",85359798,85401889,".","-",".","gene-TERT","Name=TERT","protein_coding","Dbxref=CGNC:9953,GeneID:420972",3792,0,0,0.104734,0.0349113333333333,-4.84016073243563
"NC_052533.1","BestRefSeq","gene",85405740,85435057,".","-",".","gene-CLPTM1L","Name=CLPTM1L","protein_coding","Dbxref=CGNC:9956,GeneID:420973",1611,14.0815,14.1889,15.8172,14.6958666666667,3.87733853715888
"NC_052533.1","Gnomon","gene",85437523,85496818,".","-",".","gene-LPCAT1","Name=LPCAT1","protein_coding","Dbxref=CGNC:9958,GeneID:420974",1866,1.0086,0.776053,0.90531,0.896654333333333,-0.157376171836515
"NC_052533.1","BestRefSeq%2CGnomon","gene",85596737,85599768,".","-",".","gene-MRPL36","Name=MRPL36","protein_coding","Dbxref=CGNC:68706,GeneID:107052649",306,1.21843,1.19608,1.24458,1.21969666666667,0.286522400322568
"NC_052533.1","Gnomon","gene",85599813,85649727,".","+",".","gene-NDUFS6","Name=NDUFS6","protein_coding","Dbxref=CGNC:9959,GeneID:420976",387,189.334,218.913,194.21,200.819,7.64975196259435
"NC_052533.1","BestRefSeq%2CGnomon","gene",85661757,85670393,".","-",".","gene-IRX4","Name=IRX4","protein_coding","Dbxref=CGNC:15827,GeneID:373974",1458,0,0.145363,0,0.0484543333333333,-4.36723049629217
"NC_052533.1","BestRefSeq%2CGnomon","gene",86732104,86738242,".","+",".","gene-IRX1","Name=IRX1","protein_coding","Dbxref=CGNC:9961,GeneID:374185",1380,0.156282,0,0.309724,0.155335333333333,-2.68654206537592
"NC_052533.1","Gnomon","gene",87426534,87467835,".","-",".","gene-ANKS6","Name=ANKS6","protein_coding","Dbxref=CGNC:9962,GeneID:420977",2763,1.17796,0.801379,1.1782,1.052513,0.0738380526928167
"NC_052533.1","Gnomon","gene",87476423,87521906,".","+",".","gene-GALNT12","Name=GALNT12","protein_coding","Dbxref=CGNC:9963,GeneID:420978",1764,2.62111,1.41429,1.44379,1.82639666666667,0.86900013163328
"NC_052533.1","Gnomon","gene",87528684,87992020,".","+",".","gene-GABBR2","Name=GABBR2","protein_coding","Dbxref=CGNC:9964,GeneID:420979",2811,0.144591,0.14308,0.218919,0.168863333333333,-2.56607199683051
"NC_052533.1","Gnomon","gene",88028672,88060957,".","-",".","gene-ELP2","Name=ELP2","protein_coding","Dbxref=CGNC:9965,GeneID:420980",2481,0.990271,1.79409,2.07994,1.62143366666667,0.697270003917955
"NC_052533.1","Gnomon","gene",88112930,88171639,".","+",".","gene-CTNNAL1","Name=CTNNAL1","protein_coding","Dbxref=CGNC:66084,GeneID:100858912",2010,0.516996,0.409185,0.453279,0.45982,-1.1208588770407
"NC_052533.1","BestRefSeq%2CGnomon","gene",88162946,88173523,".","-",".","gene-FAM206A","Name=FAM206A","protein_coding","Dbxref=CGNC:13895,GeneID:420983",539.652,7.86637,7.40179,5.45409,6.90741666666667,2.78814625199803
"NC_052533.1","Gnomon","gene",88174070,88192524,".","-",".","gene-SLC39A6","Name=SLC39A6","protein_coding","Dbxref=CGNC:9970,GeneID:420984",2163,2.96197,1.89067,1.15759,2.00341,1.00245770044996
"NC_052533.1","BestRefSeq%2CGnomon","gene",88523857,88542101,".","+",".","gene-EXOC3","Name=EXOC3","protein_coding","Dbxref=CGNC:10079,GeneID:420987",2238,6.72463,6.83571,6.88204,6.81412666666667,2.76852876570156
"NC_052533.1","Gnomon","gene",88542340,88549899,".","+",".","gene-PDCD6","Name=PDCD6","protein_coding","Dbxref=CGNC:10082,GeneID:420988",534.823,23.8936,22.1162,15.6882,20.566,4.3621893179518
"NC_052533.1","Gnomon","gene",88553551,88586857,".","-",".","gene-LOC101748694","Name=LOC101748694","protein_coding","Dbxref=CGNC:68176,GeneID:101748694",2277,0.542584,0.626319,0.912952,0.693951666666667,-0.527092911462197
"NC_052533.1","BestRefSeq%2CGnomon","gene",88586468,88676765,".","-",".","gene-AHRR","Name=AHRR","protein_coding","Dbxref=CGNC:51383,GeneID:420989",2271,0.181372,0,0,0.0604573333333333,-4.04793884414719
"NC_052533.1","Gnomon","gene",88675359,88740656,".","+",".","gene-LOC420992","Name=LOC420992","protein_coding","Dbxref=GeneID:420992",1440,1.63926,0.88432,1.20432,1.24263333333333,0.313400659850686
"NC_052533.1","Gnomon","gene",88701146,88713701,".","-",".","gene-C2H9ORF30","Name=C2H9ORF30","protein_coding","Dbxref=CGNC:51384,GeneID:420991",818.987,0.573956,1.50584,0.625324,0.901706666666667,-0.149269906829899
"NC_052533.1","BestRefSeq%2CGnomon","gene",88741577,88791296,".","+",".","gene-TEX10","Name=TEX10","protein_coding","Dbxref=CGNC:10107,GeneID:420993",2784,2.55627,2.67408,3.09629,2.77554666666667,1.47277195006313
"NC_052533.1","BestRefSeq%2CGnomon","gene",88790859,88875996,".","-",".","gene-INVS","Name=INVS","protein_coding","Dbxref=CGNC:10109,GeneID:395234",3342,0.964413,1.32075,0.973328,1.08616366666667,0.119241509493766
"NC_052533.1","Gnomon","gene",88876153,88923792,".","+",".","gene-ERP44","Name=ERP44","protein_coding","Dbxref=CGNC:10115,GeneID:420994",1221,13.2789,17.2113,17.9515,16.1472333333333,4.01321508963887
"NC_052533.1","BestRefSeq%2CGnomon","gene",88924133,88958167,".","-",".","gene-STX17","Name=STX17","protein_coding","Dbxref=CGNC:10120,GeneID:420995",909,3.2894,1.25034,3.07059,2.53677666666667,1.34299651267143
"NC_052533.1","Gnomon","gene",88984598,89011776,".","-",".","gene-NR4A3","Name=NR4A3","protein_coding","Dbxref=CGNC:10177,GeneID:420996",1830,0.114466,0,0.115589,0.076685,-3.70491178338899
"NC_052533.1","BestRefSeq","gene",89315839,89320107,".","-",".","gene-SEC61B","Name=SEC61B","protein_coding","Dbxref=CGNC:10178,GeneID:420997",291,113.057,105.609,89.4869,102.717633333333,6.68254005730087
"NC_052533.1","Gnomon","gene",89320392,89322108,".","+",".","gene-ALG2","Name=ALG2","protein_coding","Dbxref=CGNC:10181,GeneID:420998",1239,5.29451,5.9334,3.20994,4.81261666666667,2.26682151469621
"NC_052533.1","BestRefSeq","gene",89340072,89343487,".","+",".","gene-IFI6","Name=IFI6","protein_coding","Dbxref=CGNC:49866,GeneID:403120",324,9.84566,7.52371,5.57991,7.64976,2.93541448607441
"NC_052533.1","Gnomon","gene",89365004,89390348,".","-",".","gene-GLIPR2","Name=GLIPR2","protein_coding","Dbxref=CGNC:10184,GeneID:420999",465,0.607434,0.598832,0.616543,0.607603,-0.718799101817547
"NC_052533.1","Gnomon","gene",89398148,89403869,".","-",".","gene-BLOC1S4","Name=BLOC1S4","protein_coding","Dbxref=CGNC:10192,GeneID:421000",645,29.0587,26.7794,13.7329,23.1903333333333,4.53545165203776
"NC_052533.1","Gnomon","gene",89404845,89463285,".","-",".","gene-PARD6G","Name=PARD6G","protein_coding","Dbxref=CGNC:10194,GeneID:428511",1155,2.86812,2.64673,3.67153,3.06212666666667,1.6145339619991
"NC_052533.1","BestRefSeq","gene",89533904,89708113,".","-",".","gene-CARMIL1","Name=CARMIL1","protein_coding","Dbxref=CGNC:10202,GeneID:421002",4131,1.54672,1.14811,1.99981,1.56488,0.646052030932613
"NC_052533.1","BestRefSeq%2CGnomon","gene",89767732,89825346,".","+",".","gene-FAM65B","Name=FAM65B","protein_coding","Dbxref=CGNC:10211,GeneID:421003",3144,0.06426,0,0.129713,0.0646576666666667,-3.95103474462388
"NC_052533.1","BestRefSeq%2CGnomon","gene",89831807,89840431,".","-",".","gene-GMNN","Name=GMNN","protein_coding","Dbxref=CGNC:10213,GeneID:421004",675,2.19235,0.360841,3.32951,1.96090033333333,0.971516209543396
"NC_052533.1","Gnomon","gene",89841607,89844984,".","-",".","gene-LOC124417726","Name=LOC124417726","protein_coding","Dbxref=GeneID:124417726",699,9.08633,11.7354,10.6132,10.47831,3.38933414466081
"NC_052533.1","Gnomon","gene",89844467,89851894,".","+",".","gene-C6orf62","Name=C6orf62","protein_coding","Dbxref=CGNC:10215,GeneID:421005",683.337,24.4596,14.8535,22.8874,20.7335,4.37389177170249
"NC_052533.1","BestRefSeq","gene",89863529,89870732,".","+",".","gene-TDP2","Name=TDP2","protein_coding","Dbxref=CGNC:10219,GeneID:421007",1107,3.81483,3.37455,2.43519,3.20819,1.68175958566462
"NC_052533.1","BestRefSeq%2CGnomon","gene",90091375,90199666,".","+",".","gene-MBP","Name=MBP","protein_coding","Dbxref=CGNC:10221,GeneID:396217",927,4.20212,2.44299,7.4986,4.71457,2.23712619356058
"NC_052533.1","Gnomon","gene",90201474,90282855,".","-",".","gene-ZNF236","Name=ZNF236","protein_coding","Dbxref=CGNC:10232,GeneID:421008",5988.19,1.35152,1.4269,1.55762,1.44534666666667,0.531415564904083
"NC_052533.1","Gnomon","gene",90397556,90525937,".","+",".","gene-ZNF516","Name=ZNF516","protein_coding","Dbxref=CGNC:10234,GeneID:421009",3627,2.76688,2.79306,3.51832,3.02608666666667,1.59745330671517
"NC_052533.1","Gnomon","gene",90958009,91012602,".","-",".","gene-TSHZ1","Name=TSHZ1","protein_coding","Dbxref=CGNC:10243,GeneID:428513",3216,0.062751,0.186299,0.379999,0.209683,-2.25371819487337
"NC_052533.1","Gnomon","gene",91014235,91020610,".","+",".","gene-ZADH2","Name=ZADH2","protein_coding","Dbxref=CGNC:15813,GeneID:421010",1098.43,18.0306,15.0781,20.9202,18.0096333333333,4.17069690391797
"NC_052533.1","Gnomon","gene",91089432,91428037,".","-",".","gene-ZNF407","Name=ZNF407","protein_coding","Dbxref=CGNC:66389,GeneID:421011",6870,1.68973,1.70093,2.40236,1.93100666666667,0.949353145101788
"NC_052533.1","Gnomon","gene",91437776,91455226,".","-",".","gene-CNDP1","Name=CNDP1","protein_coding","Dbxref=CGNC:10256,GeneID:421012",1338,0.161799,0.320015,0.326934,0.269582666666667,-1.8912003562235
"NC_052533.1","BestRefSeq%2CGnomon","gene",91470578,91484819,".","-",".","gene-CNDP2","Name=CNDP2","protein_coding","Dbxref=CGNC:13892,GeneID:421013",1428,12.4849,10.7112,17.0188,13.4049666666667,3.74469572674834
"NC_052533.1","Gnomon","gene",91498762,91508921,".","+",".","gene-FAM69C","Name=FAM69C","protein_coding","Dbxref=CGNC:10260,GeneID:421014",1242,0,0,0.17784,0.05928,-4.07631074213098
"NC_052533.1","BestRefSeq","gene",91554619,91565928,".","+",".","gene-CYB5A","Name=CYB5A","protein_coding","Dbxref=CGNC:10264,GeneID:414798",417,647.112,612.78,740.484,666.792,9.38109298511651
"NC_052533.1","Gnomon","gene",91604515,91611510,".","-",".","gene-TIMM21","Name=TIMM21","protein_coding","Dbxref=CGNC:10265,GeneID:421016",984,6.21886,6.60237,8.38325,7.06816,2.82133469815126
"NC_052533.1","Gnomon","gene",91609665,91633896,".","+",".","gene-FBXO15","Name=FBXO15","protein_coding","Dbxref=CGNC:10270,GeneID:421017",1317,0.823531,0.584126,0.610681,0.672779333333333,-0.571794705815487
"NC_052533.1","BestRefSeq%2CGnomon","gene",93148584,93176550,".","-",".","gene-SOCS6","Name=SOCS6","protein_coding","Dbxref=CGNC:10278,GeneID:421020",1605,1.98217,3.13701,1.73506,2.28474666666667,1.19203420773177
"NC_052533.1","BestRefSeq%2CGnomon","gene",93211423,93292052,".","+",".","gene-RTTN","Name=RTTN","protein_coding","Dbxref=CGNC:10290,GeneID:421023",4215,0.331357,0.420826,0.445146,0.399109666666667,-1.32514287270776
"NC_052533.1","Gnomon","gene",93336613,93593061,".","-",".","gene-DOK6","Name=DOK6","protein_coding","Dbxref=CGNC:10296,GeneID:421025",996,0,0.224451,0,0.074817,-3.74049007167929
"NC_052533.1","Gnomon","gene",93694115,93824428,".","-",".","gene-CCDC102B","Name=CCDC102B","protein_coding","Dbxref=CGNC:64075,GeneID:100859046",1182,0.186214,0,0,0.0620713333333333,-4.00992905347821
"NC_052533.1","BestRefSeq%2CGnomon","gene",93847870,93874028,".","+",".","gene-TMX3","Name=TMX3","protein_coding","Dbxref=CGNC:10300,GeneID:421027",1251.2,4.18877,5.4669,6.62516,5.42694333333333,2.44013984452962
"NC_052533.1","Gnomon","gene",94277362,94286992,".","+",".","gene-DSEL","Name=DSEL","protein_coding","Dbxref=CGNC:10307,GeneID:421028",3651,0.329751,0.271954,0.499172,0.366959,-1.44630921383786
"NC_052533.1","BestRefSeq%2CGnomon","gene",96126496,96131037,".","-",".","gene-MC5R","Name=MC5R","protein_coding","Dbxref=CGNC:10393,GeneID:421047",913.626,12.8265,28.1394,16.0009,18.9889333333333,4.24708696204243
"NC_052533.1","Gnomon","gene",96153955,96169621,".","-",".","gene-RNMT","Name=RNMT","protein_coding","Dbxref=CGNC:10392,GeneID:421046",1248,3.32575,2.76937,3.18363,3.09291666666667,1.62896796300805
"NC_052533.1","BestRefSeq%2CGnomon","gene",96169743,96187043,".","+",".","gene-FAM210A","Name=FAM210A","protein_coding","Dbxref=CGNC:10391,GeneID:421045",828,11.0438,16.7879,13.7498,13.8605,3.79290739669939
"NC_052533.1","BestRefSeq%2CGnomon","gene",96195191,96486380,".","-",".","gene-LDLRAD4","Name=LDLRAD4","protein_coding","Dbxref=CGNC:51390,GeneID:421044",911.212,7.06432,6.05695,6.33562,6.48563,2.69724672154408
"NC_052533.1","Gnomon","gene",96495124,96552539,".","-",".","gene-CEP192","Name=CEP192","protein_coding","Dbxref=CGNC:10385,GeneID:421043",7620,0.412236,0.692951,0.519872,0.541686333333333,-0.884470402603318
"NC_052533.1","Gnomon","gene",96556404,96568982,".","-",".","gene-SEH1L","Name=SEH1L","protein_coding","Dbxref=CGNC:66096,GeneID:100859886",1083,7.0018,6.79026,7.77633,7.18946333333333,2.84588408287108
"NC_052533.1","BestRefSeq%2CGnomon","gene",96584099,96617984,".","+",".","gene-PTPN2","Name=PTPN2","protein_coding","Dbxref=CGNC:10374,GeneID:396409",1182,6.88993,7.32297,6.45424,6.88904666666667,2.78430435093647
"NC_052533.1","Gnomon","gene",96620829,96627610,".","-",".","gene-PSMG2","Name=PSMG2","protein_coding","Dbxref=CGNC:10372,GeneID:421040",822,15.7132,23.4297,18.2077,19.1168666666667,4.25677417391204
"NC_052533.1","Gnomon","gene",96627662,96642016,".","+",".","gene-CEP76","Name=CEP76","protein_coding","Dbxref=CGNC:10369,GeneID:421039",1989,1.88242,1.24155,1.90069,1.67488666666667,0.744063477081011
"NC_052533.1","Gnomon","gene",96643502,96768712,".","+",".","gene-SPIRE1","Name=SPIRE1","protein_coding","Dbxref=CGNC:10340,GeneID:421033",2196,0.470038,0.186022,0.18982,0.28196,-1.82643758437242
"NC_052533.1","BestRefSeq%2CGnomon","gene",96770607,96780981,".","-",".","gene-PRELID3A","Name=PRELID3A","protein_coding","Dbxref=CGNC:51388,GeneID:421035",538,0,0,0.530625,0.176875,-2.49919794694284
"NC_052533.1","Gnomon","gene",96781166,96804900,".","+",".","gene-AFG3L2","Name=AFG3L2","protein_coding","Dbxref=CGNC:10366,GeneID:421036",2419.48,12.7137,10.9827,12.6651,12.1205,3.59937730959275
"NC_052533.1","BestRefSeq","gene",96809152,96817156,".","-",".","gene-TUBB6","Name=TUBB6","protein_coding","Dbxref=CGNC:51389,GeneID:421037",1341,2.90506,4.14975,3.58721,3.54734,1.8267376141203
"NC_052533.1","BestRefSeq","gene",96829423,96841685,".","-",".","gene-CIDEA","Name=CIDEA","protein_coding","Dbxref=CGNC:10,GeneID:768659",657,261.036,261.872,290.375,271.094333333333,8.08265114670785
"NC_052533.1","Gnomon","gene",96859536,96879565,".","-",".","gene-IMPA2","Name=IMPA2","protein_coding","Dbxref=CGNC:10339,GeneID:421032",879,4.21468,5.72691,7.72594,5.88917666666667,2.55806595291069
"NC_052533.1","BestRefSeq%2CGnomon","gene",96878394,96912829,".","+",".","gene-MPPE1","Name=MPPE1","protein_coding","Dbxref=CGNC:10329,GeneID:421031",1197,12.1144,16.6972,10.9436,13.2517333333333,3.72810917213698
"NC_052533.1","BestRefSeq%2CGnomon","gene",96904247,97087299,".","-",".","gene-GNAL","Name=GNAL","protein_coding","Dbxref=CGNC:10324,GeneID:474379",1140,3.882,3.08854,4.5388,3.83644666666667,1.9397706990501
"NC_052533.1","Gnomon","gene",97249052,97644986,".","+",".","gene-PIEZO2","Name=PIEZO2","protein_coding","Dbxref=CGNC:10434,GeneID:421052",8343,0.164441,0.11627,0.284397,0.188369333333333,-2.40836398263886
"NC_052533.1","Gnomon","gene",97670837,97688065,".","-",".","gene-NAPG","Name=NAPG","protein_coding","Dbxref=CGNC:51393,GeneID:421051",945,7.7312,5.25342,6.59591,6.52684333333333,2.70638541007938
"NC_052533.1","Gnomon","gene",97694268,97831005,".","-",".","gene-MOG","Name=MOG","protein_coding","Dbxref=CGNC:51392,GeneID:421050",984,1.38197,0.683004,2.09581,1.386928,0.471892894554725
"NC_052533.1","BestRefSeq","gene",97929792,97960654,".","+",".","gene-APCDD1","Name=APCDD1","protein_coding","Dbxref=CGNC:52884,GeneID:426765",1548,0.412577,0.680131,0.138908,0.410538666666667,-1.28440998596311
"NC_052533.1","BestRefSeq","gene",97965836,97997739,".","-",".","gene-VAPA","Name=VAPA","protein_coding","Dbxref=CGNC:54859,GeneID:768928",750,52.1383,40.1293,59.9453,50.7376333333333,5.66498432107096
"NC_052533.1","Gnomon","gene",98012880,98072598,".","-",".","gene-RAB31","Name=RAB31","protein_coding","Dbxref=CGNC:15805,GeneID:430750",588,6.56433,2.76047,7.09432,5.47304,2.45234240059633
"NC_052533.1","Gnomon","gene",98087905,98148356,".","+",".","gene-PPP4R1","Name=PPP4R1","protein_coding","Dbxref=CGNC:6375,GeneID:425903",2945.65,2.75263,3.30573,4.12431,3.39422333333333,1.76308149454826
"NC_052533.1","BestRefSeq%2CGnomon","gene",98150540,98181696,".","-",".","gene-RALBP1","Name=RALBP1","protein_coding","Dbxref=CGNC:53665,GeneID:429466",1965,9.11258,11.0288,13.5168,11.2193933333333,3.48792276204134
"NC_052533.1","BestRefSeq%2CGnomon","gene",98184516,98202754,".","-",".","gene-TWSG1","Name=TWSG1","protein_coding","Dbxref=CGNC:6364,GeneID:374024",744,8.07719,8.56293,6.21239,7.61750333333333,2.92931822621894
"NC_052533.1","Gnomon","gene",98204284,98267118,".","-",".","gene-ANKRD12","Name=ANKRD12","protein_coding","Dbxref=CGNC:6363,GeneID:425900",6048,0.685224,1.16272,1.11935,0.989098,-0.0158146243482799
"NC_052533.1","Gnomon","gene",98270957,98284798,".","-",".","gene-NDUFV2","Name=NDUFV2","protein_coding","Dbxref=CGNC:52803,GeneID:426488",738,62.0109,54.8066,60.1154,58.9776333333333,5.88209602568361
"NC_052533.1","Gnomon","gene",98371494,98473716,".","-",".","gene-MTCL1","Name=MTCL1","protein_coding","Dbxref=CGNC:10057,GeneID:426050",5022,0.671478,0.273664,0.433666,0.459602666666667,-1.12154092619921
"NC_052533.1","Gnomon","gene",98495546,98519976,".","-",".","gene-RAB12","Name=RAB12","protein_coding","Dbxref=CGNC:10397,GeneID:421048",753,14.0043,5.34505,10.9509,10.1000833333333,3.33629529123976
"NC_052533.1","Gnomon","gene",98554892,99013726,".","-",".","gene-PTPRM","Name=PTPRM","protein_coding","Dbxref=CGNC:51391,GeneID:421049",4428,2.47394,2.31096,3.63293,2.80594333333333,1.48848587369606
"NC_052533.1","BestRefSeq%2CGnomon","gene",99141265,99240471,".","+",".","gene-LAMA1","Name=LAMA1","protein_coding","Dbxref=CGNC:10834,GeneID:374016",9285,0.105348,0.104285,0.106279,0.105304,-3.24736785633418
